m,n,rounding,overflow,acc
4,8,floor,wrap,97.82
4,6,floor,wrap,97.75
5,7,floor,wrap,97.75
4,5,floor,wrap,97.73
5,8,floor,wrap,97.73
5,4,floor,wrap,97.72
4,2,floor,wrap,97.72
4,7,floor,wrap,97.7
5,6,floor,wrap,97.7
5,3,floor,wrap,97.68
4,4,floor,wrap,97.68
4,3,floor,wrap,97.67
5,5,floor,wrap,97.62
5,2,floor,wrap,97.58
3,2,floor,wrap,91.7
3,3,floor,wrap,91.64
3,4,floor,wrap,91.3
3,8,floor,wrap,91.07
3,5,floor,wrap,91.01
3,6,floor,wrap,90.91
3,7,floor,wrap,90.73
3,1,floor,wrap,10.9
4,0,floor,wrap,10.71
0,4,floor,wrap,10.62
0,8,floor,wrap,10.45
0,3,floor,wrap,10.44
1,0,floor,wrap,10.35
0,2,floor,wrap,10.3
1,4,floor,wrap,10.21
0,6,floor,wrap,10.2
1,1,floor,wrap,10.14
1,7,floor,wrap,10.14
3,0,floor,wrap,10.06
0,5,floor,wrap,9.98
0,7,floor,wrap,9.88
1,2,floor,wrap,9.88
0,1,floor,wrap,9.8
0,0,floor,wrap,9.8
5,1,floor,wrap,9.8
2,0,floor,wrap,9.8
1,6,floor,wrap,9.7
1,3,floor,wrap,9.67
1,8,floor,wrap,9.56
2,1,floor,wrap,9.51
1,5,floor,wrap,9.3
5,0,floor,wrap,8.37
4,1,floor,wrap,8.16
2,6,floor,wrap,3.92
2,7,floor,wrap,3.72
2,2,floor,wrap,3.72
2,8,floor,wrap,3.63
2,5,floor,wrap,3.6
2,3,floor,wrap,3.49
2,4,floor,wrap,3.47
