m,n,rounding,overflow,acc
0,0,floor,saturate,9.8
0,1,floor,saturate,9.8
0,2,floor,saturate,97.71
0,3,floor,saturate,97.92
0,4,floor,saturate,97.95
0,5,floor,saturate,97.88
0,6,floor,saturate,98.01
0,7,floor,saturate,97.94
0,8,floor,saturate,97.9
1,0,floor,saturate,96.4
1,1,floor,saturate,96.71
1,2,floor,saturate,97.56
1,3,floor,saturate,97.87
1,4,floor,saturate,98.0
1,5,floor,saturate,98.06
1,6,floor,saturate,98.01
1,7,floor,saturate,97.98
1,8,floor,saturate,97.91
2,0,floor,saturate,96.15
2,1,floor,saturate,96.74
2,2,floor,saturate,97.71
2,3,floor,saturate,97.94
2,4,floor,saturate,97.96
2,5,floor,saturate,97.93
2,6,floor,saturate,97.9
2,7,floor,saturate,97.99
2,8,floor,saturate,97.92
3,0,floor,saturate,96.21
3,1,floor,saturate,96.78
3,2,floor,saturate,97.62
3,3,floor,saturate,97.95
3,4,floor,saturate,98.05
3,5,floor,saturate,97.97
3,6,floor,saturate,98.03
3,7,floor,saturate,97.99
3,8,floor,saturate,98.03
4,0,floor,saturate,96.16
4,1,floor,saturate,96.56
4,2,floor,saturate,97.66
4,3,floor,saturate,97.91
4,4,floor,saturate,97.99
4,5,floor,saturate,98.02
4,6,floor,saturate,97.88
4,7,floor,saturate,98.01
4,8,floor,saturate,97.95
5,0,floor,saturate,96.26
5,1,floor,saturate,96.74
5,2,floor,saturate,97.74
5,3,floor,saturate,97.87
5,4,floor,saturate,97.93
5,5,floor,saturate,97.84
5,6,floor,saturate,97.94
5,7,floor,saturate,97.92
5,8,floor,saturate,97.97
