m,n,rounding,overflow,acc
0,0,floor,saturate,9.8
0,1,floor,saturate,9.8
0,2,floor,saturate,98.22
0,3,floor,saturate,98.34
0,4,floor,saturate,98.25
0,5,floor,saturate,98.48
0,6,floor,saturate,98.38
0,7,floor,saturate,98.44
0,8,floor,saturate,98.31
1,0,floor,saturate,97.8
1,1,floor,saturate,98.02
1,2,floor,saturate,98.27
1,3,floor,saturate,98.34
1,4,floor,saturate,98.31
1,5,floor,saturate,98.37
1,6,floor,saturate,98.29
1,7,floor,saturate,98.29
1,8,floor,saturate,98.4
2,0,floor,saturate,97.7
2,1,floor,saturate,97.9
2,2,floor,saturate,98.22
2,3,floor,saturate,98.32
2,4,floor,saturate,98.3
2,5,floor,saturate,98.33
2,6,floor,saturate,98.32
2,7,floor,saturate,98.32
2,8,floor,saturate,98.24
3,0,floor,saturate,97.77
3,1,floor,saturate,97.9
3,2,floor,saturate,98.21
3,3,floor,saturate,98.39
3,4,floor,saturate,98.3
3,5,floor,saturate,98.39
3,6,floor,saturate,98.32
3,7,floor,saturate,98.36
3,8,floor,saturate,98.39
4,0,floor,saturate,97.83
4,1,floor,saturate,97.83
4,2,floor,saturate,98.32
4,3,floor,saturate,98.27
4,4,floor,saturate,98.3
4,5,floor,saturate,98.34
4,6,floor,saturate,98.4
4,7,floor,saturate,98.31
4,8,floor,saturate,98.33
5,0,floor,saturate,97.76
5,1,floor,saturate,97.9
5,2,floor,saturate,98.28
5,3,floor,saturate,98.35
5,4,floor,saturate,98.3
5,5,floor,saturate,98.37
5,6,floor,saturate,98.39
5,7,floor,saturate,98.37
5,8,floor,saturate,98.29
