m,n,rounding,overflow,acc
0,0,floor,wrap,9.8
0,1,floor,wrap,9.8
0,2,floor,wrap,10.0
0,3,floor,wrap,10.32
0,4,floor,wrap,10.34
0,5,floor,wrap,10.51
0,6,floor,wrap,9.95
0,7,floor,wrap,10.43
0,8,floor,wrap,10.43
1,0,floor,wrap,10.46
1,1,floor,wrap,9.57
1,2,floor,wrap,9.89
1,3,floor,wrap,10.01
1,4,floor,wrap,10.49
1,5,floor,wrap,9.91
1,6,floor,wrap,10.15
1,7,floor,wrap,10.39
1,8,floor,wrap,9.58
2,0,floor,wrap,10.22
2,1,floor,wrap,10.15
2,2,floor,wrap,7.7
2,3,floor,wrap,7.03
2,4,floor,wrap,6.82
2,5,floor,wrap,6.29
2,6,floor,wrap,6.7
2,7,floor,wrap,6.78
2,8,floor,wrap,6.31
3,0,floor,wrap,87.43
3,1,floor,wrap,87.82
3,2,floor,wrap,84.29
3,3,floor,wrap,81.56
3,4,floor,wrap,80.37
3,5,floor,wrap,79.1
3,6,floor,wrap,78.82
3,7,floor,wrap,78.44
3,8,floor,wrap,78.38
4,0,floor,wrap,98.31
4,1,floor,wrap,98.52
4,2,floor,wrap,98.69
4,3,floor,wrap,98.65
4,4,floor,wrap,98.77
4,5,floor,wrap,98.66
4,6,floor,wrap,98.68
4,7,floor,wrap,98.71
4,8,floor,wrap,98.77
5,0,floor,wrap,98.35
5,1,floor,wrap,98.47
5,2,floor,wrap,98.63
5,3,floor,wrap,98.73
5,4,floor,wrap,98.68
5,5,floor,wrap,98.71
5,6,floor,wrap,98.74
5,7,floor,wrap,98.77
5,8,floor,wrap,98.77
