m,n,rounding,overflow,acc,bits
0,0,floor,saturate,9.8,0
0,0,floor,wrap,9.8,0
0,0,ceil,saturate,9.8,0
0,0,ceil,wrap,9.8,0
0,0,trunc,saturate,9.8,0
0,0,trunc,wrap,9.8,0
0,0,nearest,saturate,9.8,0
0,0,nearest,wrap,9.8,0
0,0,stochastic,saturate,9.8,0
0,0,stochastic,wrap,9.8,0
1,0,nearest,saturate,98.67,1
1,0,trunc,saturate,81.07,1
1,0,stochastic,saturate,31.99,1
1,0,stochastic,wrap,10.39,1
1,0,floor,wrap,10.38,1
1,0,ceil,saturate,10.24,1
1,0,ceil,wrap,10.04,1
0,1,floor,saturate,9.8,1
1,0,floor,saturate,9.8,1
0,1,floor,wrap,9.8,1
0,1,ceil,saturate,9.8,1
0,1,ceil,wrap,9.8,1
0,1,trunc,saturate,9.8,1
0,1,trunc,wrap,9.8,1
0,1,nearest,saturate,9.8,1
0,1,nearest,wrap,9.8,1
0,1,stochastic,saturate,9.8,1
0,1,stochastic,wrap,9.8,1
1,0,nearest,wrap,9.53,1
1,0,trunc,wrap,9.44,1
0,2,nearest,saturate,98.53,2
2,0,nearest,saturate,98.51,2
1,1,nearest,saturate,98.48,2
0,2,trunc,saturate,95.9,2
1,1,trunc,saturate,85.14,2
2,0,trunc,saturate,81.19,2
2,0,stochastic,saturate,31.74,2
0,2,stochastic,saturate,27.77,2
1,1,stochastic,saturate,24.89,2
1,1,ceil,saturate,14.24,2
0,2,ceil,saturate,14.15,2
2,0,trunc,wrap,11.69,2
0,2,nearest,wrap,10.67,2
0,2,ceil,wrap,10.5,2
2,0,ceil,saturate,10.39,2
1,1,ceil,wrap,10.36,2
0,2,trunc,wrap,10.31,2
1,1,floor,wrap,10.28,2
2,0,ceil,wrap,10.21,2
1,1,stochastic,wrap,9.87,2
0,2,floor,saturate,9.81,2
1,1,floor,saturate,9.8,2
2,0,floor,saturate,9.8,2
1,1,nearest,wrap,9.78,2
1,1,trunc,wrap,9.75,2
0,2,floor,wrap,9.72,2
0,2,stochastic,wrap,9.57,2
2,0,stochastic,wrap,9.35,2
2,0,floor,wrap,9.03,2
2,0,nearest,wrap,8.05,2
1,2,nearest,saturate,98.65,3
3,0,nearest,saturate,98.62,3
0,3,nearest,saturate,98.61,3
2,1,nearest,saturate,98.45,3
0,3,trunc,saturate,97.27,3
1,2,trunc,saturate,95.82,3
2,1,trunc,saturate,85.46,3
3,0,trunc,saturate,81.43,3
3,0,trunc,wrap,69.2,3
3,0,nearest,wrap,44.44,3
3,0,stochastic,saturate,32.34,3
0,3,stochastic,saturate,26.08,3
2,1,stochastic,saturate,25.81,3
1,2,stochastic,saturate,24.01,3
1,2,ceil,saturate,14.25,3
0,3,ceil,saturate,14.09,3
2,1,ceil,saturate,14.08,3
1,2,ceil,wrap,10.48,3
3,0,ceil,saturate,10.37,3
0,3,nearest,wrap,10.29,3
2,1,trunc,wrap,10.25,3
1,2,nearest,wrap,10.21,3
0,3,floor,wrap,10.17,3
0,3,ceil,wrap,10.1,3
1,2,floor,wrap,10.07,3
0,3,stochastic,wrap,10.07,3
1,2,stochastic,wrap,9.98,3
2,1,ceil,wrap,9.86,3
0,3,floor,saturate,9.82,3
1,2,floor,saturate,9.8,3
2,1,floor,saturate,9.8,3
3,0,floor,saturate,9.8,3
0,3,trunc,wrap,9.74,3
1,2,trunc,wrap,9.49,3
2,1,floor,wrap,9.44,3
2,1,nearest,wrap,8.86,3
3,0,floor,wrap,8.76,3
2,1,stochastic,wrap,8.67,3
3,0,ceil,wrap,7.76,3
3,0,stochastic,wrap,6.43,3
0,4,nearest,saturate,98.68,4
2,2,nearest,saturate,98.61,4
1,3,nearest,saturate,98.58,4
3,1,nearest,saturate,98.52,4
4,0,nearest,saturate,98.52,4
4,0,nearest,wrap,98.46,4
0,4,trunc,saturate,97.65,4
1,3,trunc,saturate,97.18,4
2,2,trunc,saturate,95.97,4
3,1,trunc,saturate,84.86,4
4,0,trunc,wrap,80.95,4
4,0,trunc,saturate,80.87,4
3,1,trunc,wrap,67.23,4
3,1,nearest,wrap,41.21,4
4,0,stochastic,saturate,30.26,4
1,3,stochastic,saturate,29.76,4
0,4,stochastic,saturate,29.23,4
2,2,stochastic,saturate,28.24,4
3,1,stochastic,saturate,23.87,4
4,0,stochastic,wrap,21.3,4
2,2,ceil,saturate,14.3,4
0,4,ceil,saturate,14.22,4
3,1,ceil,saturate,14.18,4
1,3,ceil,saturate,14.08,4
2,2,trunc,wrap,11.03,4
0,4,nearest,wrap,10.9,4
1,3,nearest,wrap,10.39,4
4,0,ceil,saturate,10.34,4
1,3,trunc,wrap,10.13,4
0,4,stochastic,wrap,10.0,4
0,4,floor,wrap,9.96,4
4,0,ceil,wrap,9.96,4
0,4,floor,saturate,9.88,4
1,3,floor,saturate,9.85,4
1,3,ceil,wrap,9.83,4
2,2,floor,saturate,9.82,4
3,1,floor,saturate,9.8,4
4,0,floor,saturate,9.8,4
0,4,trunc,wrap,9.75,4
1,3,floor,wrap,9.74,4
0,4,ceil,wrap,9.74,4
1,3,stochastic,wrap,9.7,4
2,2,ceil,wrap,9.66,4
2,2,floor,wrap,9.5,4
2,2,nearest,wrap,9.37,4
2,2,stochastic,wrap,8.92,4
3,1,floor,wrap,8.64,4
3,1,ceil,wrap,8.54,4
3,1,stochastic,wrap,6.81,4
4,0,floor,wrap,4.73,4
3,2,nearest,saturate,98.68,5
5,0,nearest,saturate,98.66,5
5,0,nearest,wrap,98.66,5
2,3,nearest,saturate,98.62,5
0,5,nearest,saturate,98.58,5
4,1,nearest,saturate,98.52,5
1,4,nearest,saturate,98.5,5
4,1,nearest,wrap,98.39,5
1,4,trunc,saturate,97.68,5
0,5,trunc,saturate,97.65,5
2,3,trunc,saturate,97.11,5
3,2,trunc,saturate,96.03,5
4,1,trunc,saturate,85.28,5
4,1,trunc,wrap,85.24,5
5,0,trunc,saturate,80.6,5
5,0,trunc,wrap,80.6,5
3,2,trunc,wrap,75.51,5
3,2,nearest,wrap,38.04,5
0,5,stochastic,saturate,33.38,5
5,0,stochastic,saturate,30.59,5
5,0,stochastic,wrap,30.51,5
1,4,stochastic,saturate,29.39,5
3,2,stochastic,saturate,28.8,5
2,3,stochastic,saturate,27.28,5
4,1,stochastic,saturate,22.82,5
4,1,stochastic,wrap,14.35,5
3,2,ceil,saturate,14.24,5
2,3,ceil,saturate,14.22,5
4,1,ceil,saturate,14.21,5
0,5,ceil,saturate,14.15,5
1,4,ceil,saturate,14.11,5
0,5,floor,wrap,10.83,5
2,3,trunc,wrap,10.83,5
0,5,nearest,wrap,10.5,5
5,0,ceil,wrap,10.35,5
5,0,ceil,saturate,10.33,5
1,4,nearest,wrap,10.32,5
0,5,stochastic,wrap,10.32,5
1,4,ceil,wrap,10.22,5
4,1,ceil,wrap,10.19,5
2,3,floor,wrap,10.03,5
0,5,trunc,wrap,10.02,5
1,4,trunc,wrap,9.98,5
0,5,floor,saturate,9.89,5
1,4,floor,saturate,9.85,5
1,4,stochastic,wrap,9.85,5
2,3,floor,saturate,9.84,5
3,2,floor,saturate,9.81,5
4,1,floor,saturate,9.81,5
1,4,floor,wrap,9.81,5
5,0,floor,saturate,9.8,5
2,3,ceil,wrap,9.72,5
0,5,ceil,wrap,9.53,5
2,3,nearest,wrap,9.15,5
5,0,floor,wrap,9.08,5
3,2,ceil,wrap,8.81,5
2,3,stochastic,wrap,8.75,5
3,2,floor,wrap,8.59,5
3,2,stochastic,wrap,6.63,5
4,1,floor,wrap,4.3,5
5,1,nearest,saturate,98.66,6
5,1,nearest,wrap,98.66,6
3,3,nearest,saturate,98.64,6
1,5,nearest,saturate,98.62,6
4,2,nearest,saturate,98.59,6
2,4,nearest,saturate,98.55,6
0,6,nearest,saturate,98.54,6
4,2,nearest,wrap,98.41,6
1,5,trunc,saturate,97.73,6
0,6,trunc,saturate,97.71,6
2,4,trunc,saturate,97.54,6
3,3,trunc,saturate,97.28,6
4,2,trunc,saturate,95.83,6
4,2,trunc,wrap,95.8,6
5,1,trunc,saturate,85.21,6
5,1,trunc,wrap,85.21,6
3,3,trunc,wrap,75.99,6
3,3,nearest,wrap,35.1,6
0,6,stochastic,saturate,32.61,6
1,5,stochastic,saturate,32.09,6
2,4,stochastic,saturate,30.53,6
3,3,stochastic,saturate,28.22,6
4,2,stochastic,saturate,26.98,6
5,1,stochastic,saturate,21.95,6
5,1,stochastic,wrap,21.89,6
4,2,stochastic,wrap,16.58,6
3,3,ceil,saturate,14.25,6
2,4,ceil,saturate,14.21,6
4,2,ceil,saturate,14.14,6
5,1,ceil,wrap,14.14,6
5,1,ceil,saturate,14.13,6
0,6,ceil,saturate,14.11,6
1,5,ceil,saturate,14.08,6
2,4,trunc,wrap,11.3,6
1,5,floor,wrap,10.36,6
1,5,stochastic,wrap,10.28,6
4,2,ceil,wrap,10.23,6
1,5,trunc,wrap,10.22,6
0,6,stochastic,wrap,10.16,6
0,6,nearest,wrap,10.13,6
0,6,floor,wrap,10.09,6
0,6,ceil,wrap,10.07,6
1,5,nearest,wrap,9.94,6
0,6,floor,saturate,9.9,6
1,5,floor,saturate,9.9,6
1,5,ceil,wrap,9.88,6
2,4,floor,saturate,9.87,6
3,3,floor,saturate,9.85,6
4,2,floor,saturate,9.81,6
5,1,floor,saturate,9.8,6
2,4,floor,wrap,9.61,6
0,6,trunc,wrap,9.57,6
2,4,ceil,wrap,9.53,6
2,4,nearest,wrap,9.46,6
5,1,floor,wrap,8.99,6
2,4,stochastic,wrap,8.87,6
3,3,ceil,wrap,8.74,6
3,3,floor,wrap,8.62,6
3,3,stochastic,wrap,6.05,6
4,2,floor,wrap,4.83,6
0,7,nearest,saturate,98.66,7
3,4,nearest,saturate,98.65,7
5,2,nearest,saturate,98.59,7
5,2,nearest,wrap,98.59,7
1,6,nearest,saturate,98.58,7
2,5,nearest,saturate,98.55,7
4,3,nearest,saturate,98.54,7
4,3,nearest,wrap,98.44,7
0,7,trunc,saturate,97.81,7
1,6,trunc,saturate,97.72,7
2,5,trunc,saturate,97.72,7
3,4,trunc,saturate,97.51,7
4,3,trunc,saturate,97.27,7
4,3,trunc,wrap,97.25,7
5,2,trunc,saturate,95.85,7
5,2,trunc,wrap,95.85,7
3,4,trunc,wrap,75.83,7
3,4,nearest,wrap,34.55,7
2,5,stochastic,saturate,33.52,7
1,6,stochastic,saturate,33.35,7
0,7,stochastic,saturate,31.53,7
3,4,stochastic,saturate,30.0,7
4,3,stochastic,saturate,29.77,7
5,2,stochastic,saturate,28.11,7
5,2,stochastic,wrap,28.06,7
4,3,stochastic,wrap,20.17,7
1,6,ceil,saturate,14.32,7
0,7,ceil,saturate,14.26,7
3,4,ceil,saturate,14.19,7
4,3,ceil,saturate,14.18,7
2,5,ceil,saturate,14.15,7
5,2,ceil,wrap,14.14,7
5,2,ceil,saturate,14.13,7
2,5,trunc,wrap,10.65,7
4,3,ceil,wrap,10.27,7
1,6,nearest,wrap,10.17,7
1,6,stochastic,wrap,10.13,7
0,7,trunc,wrap,10.11,7
0,7,ceil,wrap,10.09,7
0,7,floor,wrap,10.06,7
0,7,stochastic,wrap,10.04,7
0,7,nearest,wrap,9.99,7
1,6,trunc,wrap,9.98,7
0,7,floor,saturate,9.89,7
1,6,floor,saturate,9.88,7
2,5,floor,wrap,9.87,7
2,5,floor,saturate,9.86,7
3,4,floor,saturate,9.85,7
1,6,floor,wrap,9.84,7
4,3,floor,saturate,9.83,7
5,2,floor,saturate,9.83,7
1,6,ceil,wrap,9.68,7
2,5,stochastic,wrap,9.63,7
2,5,ceil,wrap,9.18,7
2,5,nearest,wrap,8.68,7
3,4,ceil,wrap,8.58,7
5,2,floor,wrap,8.5,7
3,4,floor,wrap,8.43,7
3,4,stochastic,wrap,6.39,7
4,3,floor,wrap,5.12,7
1,7,nearest,saturate,98.59,8
4,4,nearest,saturate,98.59,8
0,8,nearest,saturate,98.57,8
2,6,nearest,saturate,98.55,8
5,3,nearest,saturate,98.53,8
5,3,nearest,wrap,98.53,8
3,5,nearest,saturate,98.52,8
4,4,nearest,wrap,98.44,8
0,8,trunc,saturate,97.77,8
1,7,trunc,saturate,97.75,8
3,5,trunc,saturate,97.74,8
2,6,trunc,saturate,97.73,8
4,4,trunc,saturate,97.62,8
4,4,trunc,wrap,97.57,8
5,3,trunc,saturate,97.09,8
5,3,trunc,wrap,97.09,8
3,5,trunc,wrap,75.69,8
3,5,nearest,wrap,34.27,8
3,5,stochastic,saturate,33.68,8
2,6,stochastic,saturate,32.23,8
0,8,stochastic,saturate,31.8,8
1,7,stochastic,saturate,29.63,8
5,3,stochastic,saturate,28.77,8
4,4,stochastic,saturate,28.62,8
5,3,stochastic,wrap,28.61,8
4,4,stochastic,wrap,19.65,8
1,7,ceil,saturate,14.3,8
0,8,ceil,saturate,14.28,8
4,4,ceil,saturate,14.25,8
3,5,ceil,saturate,14.18,8
2,6,ceil,saturate,14.15,8
5,3,ceil,wrap,14.13,8
5,3,ceil,saturate,14.12,8
2,6,trunc,wrap,10.84,8
0,8,trunc,wrap,10.27,8
0,8,floor,wrap,10.23,8
4,4,ceil,wrap,10.15,8
0,8,nearest,wrap,10.12,8
0,8,ceil,wrap,10.04,8
1,7,trunc,wrap,9.98,8
1,7,stochastic,wrap,9.98,8
0,8,floor,saturate,9.91,8
2,6,floor,saturate,9.91,8
2,6,floor,wrap,9.91,8
3,5,floor,saturate,9.9,8
1,7,floor,saturate,9.88,8
4,4,floor,saturate,9.87,8
5,3,floor,saturate,9.86,8
1,7,nearest,wrap,9.81,8
1,7,floor,wrap,9.79,8
1,7,ceil,wrap,9.71,8
2,6,ceil,wrap,9.67,8
0,8,stochastic,wrap,9.43,8
2,6,stochastic,wrap,9.43,8
2,6,nearest,wrap,9.04,8
3,5,floor,wrap,8.55,8
3,5,ceil,wrap,8.51,8
5,3,floor,wrap,8.36,8
3,5,stochastic,wrap,5.83,8
4,4,floor,wrap,5.07,8
1,8,nearest,saturate,98.65,9
2,7,nearest,saturate,98.63,9
5,4,nearest,saturate,98.59,9
5,4,nearest,wrap,98.59,9
3,6,nearest,saturate,98.53,9
4,5,nearest,saturate,98.46,9
4,5,nearest,wrap,98.3,9
3,6,trunc,saturate,97.83,9
1,8,trunc,saturate,97.79,9
2,7,trunc,saturate,97.7,9
4,5,trunc,saturate,97.7,9
4,5,trunc,wrap,97.64,9
5,4,trunc,saturate,97.58,9
5,4,trunc,wrap,97.58,9
3,6,trunc,wrap,75.88,9
3,6,nearest,wrap,33.7,9
3,6,stochastic,saturate,32.85,9
4,5,stochastic,saturate,31.78,9
1,8,stochastic,saturate,28.97,9
5,4,stochastic,saturate,28.81,9
2,7,stochastic,saturate,28.72,9
5,4,stochastic,wrap,28.68,9
4,5,stochastic,wrap,20.02,9
1,8,ceil,saturate,14.37,9
2,7,ceil,saturate,14.21,9
3,6,ceil,saturate,14.2,9
5,4,ceil,wrap,14.19,9
5,4,ceil,saturate,14.18,9
4,5,ceil,saturate,14.07,9
1,8,stochastic,wrap,10.82,9
2,7,trunc,wrap,10.39,9
4,5,ceil,wrap,10.25,9
1,8,nearest,wrap,10.02,9
3,6,floor,saturate,9.95,9
1,8,ceil,wrap,9.95,9
1,8,trunc,wrap,9.95,9
1,8,floor,wrap,9.92,9
1,8,floor,saturate,9.9,9
2,7,floor,saturate,9.9,9
4,5,floor,saturate,9.88,9
5,4,floor,saturate,9.86,9
2,7,ceil,wrap,9.73,9
2,7,floor,wrap,9.69,9
2,7,nearest,wrap,9.53,9
2,7,stochastic,wrap,8.97,9
3,6,ceil,wrap,8.85,9
3,6,floor,wrap,8.15,9
5,4,floor,wrap,8.12,9
3,6,stochastic,wrap,5.88,9
4,5,floor,wrap,5.12,9
5,5,nearest,saturate,98.62,10
5,5,nearest,wrap,98.62,10
3,7,nearest,saturate,98.58,10
4,6,nearest,saturate,98.57,10
2,8,nearest,saturate,98.53,10
4,6,nearest,wrap,98.47,10
3,7,trunc,saturate,97.78,10
5,5,trunc,saturate,97.71,10
5,5,trunc,wrap,97.71,10
2,8,trunc,saturate,97.68,10
4,6,trunc,saturate,97.63,10
4,6,trunc,wrap,97.59,10
3,7,trunc,wrap,76.25,10
3,7,stochastic,saturate,34.5,10
4,6,stochastic,saturate,33.79,10
3,7,nearest,wrap,33.53,10
2,8,stochastic,saturate,33.42,10
5,5,stochastic,saturate,28.71,10
5,5,stochastic,wrap,28.59,10
4,6,stochastic,wrap,21.87,10
3,7,ceil,saturate,14.25,10
2,8,ceil,saturate,14.2,10
4,6,ceil,saturate,14.2,10
5,5,ceil,wrap,14.13,10
5,5,ceil,saturate,14.12,10
2,8,trunc,wrap,10.38,10
4,6,ceil,wrap,10.18,10
2,8,floor,wrap,9.93,10
2,8,floor,saturate,9.89,10
3,7,floor,saturate,9.89,10
4,6,floor,saturate,9.88,10
5,5,floor,saturate,9.85,10
2,8,ceil,wrap,9.27,10
2,8,nearest,wrap,9.24,10
2,8,stochastic,wrap,8.9,10
3,7,ceil,wrap,8.75,10
3,7,floor,wrap,8.61,10
5,5,floor,wrap,7.94,10
3,7,stochastic,wrap,6.18,10
4,6,floor,wrap,5.19,10
3,8,nearest,saturate,98.62,11
5,6,nearest,saturate,98.57,11
5,6,nearest,wrap,98.57,11
4,7,nearest,saturate,98.55,11
4,7,nearest,wrap,98.44,11
3,8,trunc,saturate,97.71,11
4,7,trunc,saturate,97.7,11
5,6,trunc,saturate,97.65,11
5,6,trunc,wrap,97.65,11
4,7,trunc,wrap,97.63,11
3,8,trunc,wrap,75.91,11
3,8,nearest,wrap,33.33,11
5,6,stochastic,saturate,32.36,11
5,6,stochastic,wrap,32.31,11
3,8,stochastic,saturate,31.85,11
4,7,stochastic,saturate,27.84,11
4,7,stochastic,wrap,18.44,11
5,6,ceil,wrap,14.28,11
5,6,ceil,saturate,14.26,11
4,7,ceil,saturate,14.24,11
3,8,ceil,saturate,14.15,11
4,7,ceil,wrap,10.24,11
3,8,floor,saturate,9.92,11
5,6,floor,saturate,9.91,11
4,7,floor,saturate,9.89,11
3,8,ceil,wrap,8.83,11
3,8,floor,wrap,8.64,11
5,6,floor,wrap,8.07,11
3,8,stochastic,wrap,5.93,11
4,7,floor,wrap,5.39,11
5,7,nearest,saturate,98.61,12
5,7,nearest,wrap,98.61,12
4,8,nearest,saturate,98.54,12
4,8,nearest,wrap,98.42,12
4,8,trunc,saturate,97.78,12
5,7,trunc,saturate,97.77,12
5,7,trunc,wrap,97.77,12
4,8,trunc,wrap,97.73,12
5,7,stochastic,saturate,33.44,12
5,7,stochastic,wrap,33.33,12
4,8,stochastic,saturate,30.55,12
4,8,stochastic,wrap,20.91,12
5,7,ceil,saturate,14.23,12
5,7,ceil,wrap,14.23,12
4,8,ceil,saturate,14.17,12
4,8,ceil,wrap,10.2,12
4,8,floor,saturate,9.87,12
5,7,floor,saturate,9.86,12
5,7,floor,wrap,7.94,12
4,8,floor,wrap,5.23,12
5,8,nearest,saturate,98.57,13
5,8,nearest,wrap,98.57,13
5,8,trunc,saturate,97.68,13
5,8,trunc,wrap,97.68,13
5,8,stochastic,saturate,32.91,13
5,8,stochastic,wrap,32.8,13
