m,n,rounding,overflow,acc
0,0,floor,saturate,9.8
0,1,floor,saturate,9.8
0,2,floor,saturate,97.91
0,3,floor,saturate,97.95
0,4,floor,saturate,98.08
0,5,floor,saturate,98.02
0,6,floor,saturate,97.98
0,7,floor,saturate,98.12
0,8,floor,saturate,98.06
1,0,floor,saturate,97.16
1,1,floor,saturate,97.39
1,2,floor,saturate,97.9
1,3,floor,saturate,97.99
1,4,floor,saturate,98.11
1,5,floor,saturate,98.14
1,6,floor,saturate,98.07
1,7,floor,saturate,98.13
1,8,floor,saturate,98.1
2,0,floor,saturate,97.2
2,1,floor,saturate,97.42
2,2,floor,saturate,97.92
2,3,floor,saturate,97.93
2,4,floor,saturate,98.04
2,5,floor,saturate,98.02
2,6,floor,saturate,98.03
2,7,floor,saturate,98.01
2,8,floor,saturate,98.07
3,0,floor,saturate,97.08
3,1,floor,saturate,97.34
3,2,floor,saturate,97.9
3,3,floor,saturate,98.0
3,4,floor,saturate,98.04
3,5,floor,saturate,98.06
3,6,floor,saturate,98.11
3,7,floor,saturate,98.07
3,8,floor,saturate,98.03
4,0,floor,saturate,97.05
4,1,floor,saturate,97.32
4,2,floor,saturate,97.85
4,3,floor,saturate,98.04
4,4,floor,saturate,98.0
4,5,floor,saturate,98.07
4,6,floor,saturate,97.98
4,7,floor,saturate,98.08
4,8,floor,saturate,98.0
5,0,floor,saturate,97.28
5,1,floor,saturate,97.32
5,2,floor,saturate,97.89
5,3,floor,saturate,98.0
5,4,floor,saturate,98.02
5,5,floor,saturate,98.01
5,6,floor,saturate,98.1
5,7,floor,saturate,98.12
5,8,floor,saturate,98.14
