m,n,rounding,overflow,acc,bits
0,0,floor,saturate,9.8,0
0,0,floor,wrap,9.8,0
0,0,ceil,saturate,9.8,0
0,0,ceil,wrap,9.8,0
0,0,trunc,saturate,9.8,0
0,0,trunc,wrap,9.8,0
0,0,nearest,saturate,9.8,0
0,0,nearest,wrap,9.8,0
0,0,stochastic,saturate,9.8,0
0,0,stochastic,wrap,9.8,0
1,0,stochastic,saturate,12.77,1
1,0,nearest,wrap,12.75,1
1,0,stochastic,wrap,10.56,1
1,0,ceil,wrap,10.23,1
1,0,floor,wrap,10.15,1
1,0,floor,saturate,9.8,1
0,1,floor,saturate,9.8,1
0,1,floor,wrap,9.8,1
1,0,ceil,saturate,9.8,1
0,1,ceil,saturate,9.8,1
0,1,ceil,wrap,9.8,1
0,1,trunc,saturate,9.8,1
1,0,trunc,saturate,9.8,1
0,1,trunc,wrap,9.8,1
1,0,trunc,wrap,9.8,1
1,0,nearest,saturate,9.8,1
0,1,nearest,saturate,9.8,1
0,1,nearest,wrap,9.8,1
0,1,stochastic,saturate,9.8,1
0,1,stochastic,wrap,9.8,1
0,2,stochastic,saturate,30.09,2
0,2,nearest,saturate,26.36,2
1,1,nearest,saturate,25.9,2
1,1,stochastic,saturate,17.82,2
2,0,nearest,wrap,15.66,2
2,0,stochastic,saturate,14.18,2
0,2,trunc,saturate,14.11,2
0,2,ceil,saturate,14.0,2
0,2,nearest,wrap,10.66,2
2,0,stochastic,wrap,10.61,2
2,0,ceil,wrap,10.57,2
0,2,floor,saturate,10.44,2
0,2,trunc,wrap,10.34,2
1,1,ceil,wrap,10.28,2
0,2,floor,wrap,10.14,2
2,0,floor,wrap,10.09,2
1,1,stochastic,wrap,10.08,2
1,1,floor,wrap,9.89,2
0,2,ceil,wrap,9.86,2
2,0,floor,saturate,9.8,2
1,1,floor,saturate,9.8,2
2,0,ceil,saturate,9.8,2
1,1,ceil,saturate,9.8,2
1,1,trunc,saturate,9.8,2
2,0,trunc,saturate,9.8,2
2,0,trunc,wrap,9.8,2
1,1,trunc,wrap,9.8,2
2,0,nearest,saturate,9.8,2
0,2,stochastic,wrap,9.74,2
1,1,nearest,wrap,9.07,2
1,2,nearest,saturate,72.79,3
1,2,stochastic,saturate,49.25,3
0,3,ceil,saturate,42.72,3
0,3,trunc,saturate,42.42,3
0,3,stochastic,saturate,42.33,3
0,3,nearest,saturate,42.29,3
0,3,floor,saturate,42.05,3
2,1,nearest,saturate,24.61,3
1,2,trunc,saturate,19.76,3
2,1,stochastic,saturate,16.34,3
3,0,stochastic,saturate,14.41,3
1,2,stochastic,wrap,10.51,3
0,3,floor,wrap,10.4,3
0,3,trunc,wrap,10.33,3
3,0,stochastic,wrap,10.21,3
1,2,ceil,wrap,10.16,3
3,0,floor,wrap,10.14,3
1,2,floor,saturate,10.05,3
1,2,ceil,saturate,9.99,3
3,0,ceil,wrap,9.94,3
1,2,floor,wrap,9.92,3
0,3,stochastic,wrap,9.92,3
0,3,ceil,wrap,9.88,3
2,1,stochastic,wrap,9.83,3
2,1,floor,saturate,9.8,3
3,0,floor,saturate,9.8,3
2,1,ceil,saturate,9.8,3
3,0,ceil,saturate,9.8,3
2,1,trunc,saturate,9.8,3
3,0,trunc,saturate,9.8,3
3,0,trunc,wrap,9.8,3
2,1,trunc,wrap,9.8,3
3,0,nearest,saturate,9.8,3
3,0,nearest,wrap,9.8,3
2,1,floor,wrap,9.5,3
1,2,nearest,wrap,9.39,3
1,2,trunc,wrap,9.33,3
0,3,nearest,wrap,9.31,3
2,1,ceil,wrap,9.16,3
2,1,nearest,wrap,5.67,3
1,3,trunc,saturate,89.4,4
1,3,ceil,saturate,89.29,4
1,3,nearest,saturate,89.29,4
1,3,stochastic,saturate,89.09,4
1,3,floor,saturate,88.92,4
2,2,nearest,saturate,77.76,4
0,4,ceil,saturate,48.48,4
0,4,trunc,saturate,48.43,4
0,4,stochastic,saturate,48.09,4
0,4,floor,saturate,47.92,4
0,4,nearest,saturate,47.89,4
2,2,stochastic,saturate,40.27,4
3,1,nearest,wrap,26.31,4
3,1,nearest,saturate,24.69,4
2,2,trunc,saturate,22.15,4
2,2,trunc,wrap,19.94,4
3,1,stochastic,saturate,15.9,4
4,0,ceil,wrap,15.76,4
2,2,stochastic,wrap,14.04,4
4,0,stochastic,saturate,14.01,4
2,2,floor,wrap,11.61,4
3,1,floor,wrap,11.18,4
4,0,stochastic,wrap,10.69,4
0,4,floor,wrap,10.64,4
0,4,ceil,wrap,10.44,4
0,4,nearest,wrap,10.3,4
3,1,ceil,wrap,10.19,4
0,4,stochastic,wrap,10.06,4
3,1,stochastic,wrap,9.93,4
3,1,floor,saturate,9.8,4
4,0,floor,saturate,9.8,4
2,2,ceil,saturate,9.8,4
4,0,ceil,saturate,9.8,4
3,1,ceil,saturate,9.8,4
3,1,trunc,saturate,9.8,4
4,0,trunc,saturate,9.8,4
3,1,trunc,wrap,9.8,4
4,0,trunc,wrap,9.8,4
4,0,nearest,saturate,9.8,4
4,0,nearest,wrap,9.8,4
1,3,ceil,wrap,9.71,4
2,2,ceil,wrap,9.71,4
2,2,floor,saturate,9.6,4
1,3,stochastic,wrap,9.57,4
1,3,floor,wrap,9.51,4
0,4,trunc,wrap,9.43,4
1,3,nearest,wrap,9.38,4
1,3,trunc,wrap,9.32,4
4,0,floor,wrap,8.28,4
2,2,nearest,wrap,7.98,4
2,3,stochastic,saturate,97.73,5
2,3,trunc,saturate,97.72,5
2,3,floor,saturate,97.7,5
2,3,nearest,saturate,97.7,5
2,3,ceil,saturate,97.68,5
1,4,stochastic,saturate,90.16,5
1,4,nearest,saturate,90.03,5
1,4,ceil,saturate,89.99,5
1,4,floor,saturate,89.96,5
1,4,trunc,saturate,89.91,5
3,2,nearest,saturate,77.88,5
3,2,nearest,wrap,75.95,5
0,5,nearest,saturate,48.5,5
0,5,trunc,saturate,48.48,5
0,5,floor,saturate,48.14,5
0,5,stochastic,saturate,48.14,5
0,5,ceil,saturate,47.9,5
3,2,stochastic,saturate,36.01,5
4,1,nearest,saturate,24.94,5
4,1,nearest,wrap,24.85,5
3,2,trunc,saturate,21.84,5
3,2,trunc,wrap,21.76,5
3,2,stochastic,wrap,18.34,5
4,1,stochastic,saturate,15.74,5
3,2,ceil,wrap,14.26,5
5,0,stochastic,saturate,13.35,5
2,3,nearest,wrap,13.08,5
2,3,trunc,wrap,13.02,5
2,3,floor,wrap,12.83,5
2,3,stochastic,wrap,12.53,5
5,0,stochastic,wrap,12.5,5
2,3,ceil,wrap,12.42,5
4,1,stochastic,wrap,12.38,5
3,2,floor,wrap,10.93,5
0,5,trunc,wrap,10.56,5
0,5,nearest,wrap,10.14,5
0,5,ceil,wrap,10.06,5
0,5,floor,wrap,9.84,5
5,0,floor,saturate,9.8,5
4,1,floor,saturate,9.8,5
4,1,ceil,saturate,9.8,5
3,2,ceil,saturate,9.8,5
5,0,ceil,saturate,9.8,5
4,1,ceil,wrap,9.8,5
5,0,ceil,wrap,9.8,5
4,1,trunc,saturate,9.8,5
5,0,trunc,saturate,9.8,5
4,1,trunc,wrap,9.8,5
5,0,trunc,wrap,9.8,5
5,0,nearest,saturate,9.8,5
5,0,nearest,wrap,9.8,5
1,4,nearest,wrap,9.79,5
3,2,floor,saturate,9.73,5
1,4,floor,wrap,9.68,5
0,5,stochastic,wrap,9.55,5
1,4,stochastic,wrap,9.17,5
1,4,ceil,wrap,9.16,5
1,4,trunc,wrap,9.06,5
5,0,floor,wrap,5.73,5
4,1,floor,wrap,5.62,5
3,3,trunc,saturate,97.92,6
3,3,floor,saturate,97.83,6
2,4,stochastic,saturate,97.77,6
2,4,trunc,saturate,97.76,6
2,4,floor,saturate,97.73,6
2,4,ceil,saturate,97.73,6
2,4,nearest,saturate,97.72,6
3,3,stochastic,saturate,97.67,6
3,3,ceil,saturate,97.65,6
3,3,nearest,saturate,97.64,6
3,3,trunc,wrap,90.32,6
1,5,trunc,saturate,90.18,6
1,5,nearest,saturate,90.1,6
1,5,stochastic,saturate,90.05,6
1,5,floor,saturate,89.99,6
3,3,floor,wrap,89.98,6
1,5,ceil,saturate,89.92,6
3,3,nearest,wrap,89.91,6
3,3,stochastic,wrap,89.73,6
3,3,ceil,wrap,89.68,6
4,2,nearest,saturate,78.34,6
4,2,nearest,wrap,78.02,6
0,6,stochastic,saturate,48.66,6
0,6,ceil,saturate,48.54,6
0,6,floor,saturate,48.27,6
0,6,nearest,saturate,48.22,6
0,6,trunc,saturate,48.14,6
4,2,stochastic,saturate,35.73,6
4,2,stochastic,wrap,28.94,6
5,1,nearest,saturate,24.76,6
5,1,nearest,wrap,24.7,6
4,2,trunc,wrap,22.11,6
4,2,trunc,saturate,21.76,6
5,1,stochastic,saturate,16.26,6
5,1,stochastic,wrap,15.77,6
2,4,ceil,wrap,12.12,6
2,4,trunc,wrap,12.03,6
2,4,stochastic,wrap,11.98,6
2,4,nearest,wrap,11.8,6
2,4,floor,wrap,11.62,6
0,6,floor,wrap,10.42,6
0,6,trunc,wrap,10.26,6
0,6,stochastic,wrap,10.1,6
0,6,nearest,wrap,9.99,6
1,5,ceil,wrap,9.87,6
0,6,ceil,wrap,9.86,6
5,1,floor,saturate,9.8,6
5,1,floor,wrap,9.8,6
4,2,ceil,saturate,9.8,6
5,1,ceil,saturate,9.8,6
5,1,ceil,wrap,9.8,6
5,1,trunc,saturate,9.8,6
5,1,trunc,wrap,9.8,6
4,2,floor,saturate,9.76,6
1,5,floor,wrap,9.52,6
4,2,ceil,wrap,9.52,6
1,5,stochastic,wrap,9.52,6
1,5,trunc,wrap,9.45,6
1,5,nearest,wrap,9.22,6
4,2,floor,wrap,6.73,6
3,4,stochastic,saturate,97.89,7
4,3,nearest,saturate,97.83,7
2,5,ceil,saturate,97.8,7
4,3,stochastic,saturate,97.77,7
3,4,trunc,saturate,97.75,7
3,4,floor,saturate,97.74,7
2,5,floor,saturate,97.74,7
4,3,trunc,saturate,97.74,7
3,4,nearest,saturate,97.74,7
4,3,ceil,saturate,97.73,7
4,3,floor,saturate,97.72,7
3,4,ceil,saturate,97.71,7
2,5,nearest,saturate,97.67,7
2,5,trunc,saturate,97.66,7
2,5,stochastic,saturate,97.63,7
4,3,stochastic,wrap,97.62,7
4,3,ceil,wrap,97.6,7
4,3,nearest,wrap,97.57,7
4,3,floor,wrap,97.55,7
4,3,trunc,wrap,97.45,7
1,6,nearest,saturate,90.2,7
1,6,stochastic,saturate,90.14,7
1,6,trunc,saturate,90.09,7
1,6,ceil,saturate,89.92,7
3,4,trunc,wrap,89.88,7
1,6,floor,saturate,89.87,7
3,4,nearest,wrap,89.87,7
3,4,floor,wrap,89.82,7
3,4,stochastic,wrap,89.69,7
3,4,ceil,wrap,89.52,7
5,2,nearest,saturate,77.88,7
5,2,nearest,wrap,77.56,7
0,7,stochastic,saturate,48.72,7
0,7,floor,saturate,48.41,7
0,7,trunc,saturate,48.35,7
0,7,ceil,saturate,48.21,7
0,7,nearest,saturate,48.03,7
5,2,stochastic,wrap,36.09,7
5,2,stochastic,saturate,35.63,7
5,2,trunc,saturate,22.11,7
5,2,trunc,wrap,22.02,7
2,5,nearest,wrap,11.81,7
2,5,trunc,wrap,11.76,7
2,5,floor,wrap,11.63,7
2,5,stochastic,wrap,11.56,7
2,5,ceil,wrap,11.4,7
0,7,nearest,wrap,10.42,7
0,7,ceil,wrap,9.99,7
0,7,trunc,wrap,9.87,7
0,7,stochastic,wrap,9.83,7
1,6,nearest,wrap,9.81,7
5,2,ceil,saturate,9.8,7
5,2,ceil,wrap,9.8,7
1,6,ceil,wrap,9.79,7
5,2,floor,saturate,9.77,7
1,6,stochastic,wrap,9.75,7
1,6,trunc,wrap,9.74,7
0,7,floor,wrap,9.68,7
5,2,floor,wrap,9.6,7
1,6,floor,wrap,9.43,7
3,5,stochastic,saturate,97.86,8
4,4,nearest,saturate,97.85,8
4,4,stochastic,saturate,97.85,8
4,4,trunc,saturate,97.81,8
3,5,trunc,saturate,97.81,8
4,4,floor,saturate,97.79,8
5,3,floor,wrap,97.79,8
3,5,ceil,saturate,97.79,8
3,5,floor,saturate,97.78,8
2,6,trunc,saturate,97.78,8
5,3,stochastic,wrap,97.77,8
5,3,stochastic,saturate,97.76,8
2,6,nearest,saturate,97.75,8
5,3,ceil,wrap,97.74,8
5,3,nearest,wrap,97.74,8
5,3,ceil,saturate,97.73,8
4,4,ceil,saturate,97.73,8
5,3,trunc,wrap,97.73,8
5,3,nearest,saturate,97.72,8
5,3,floor,saturate,97.69,8
2,6,ceil,saturate,97.69,8
3,5,nearest,saturate,97.69,8
5,3,trunc,saturate,97.68,8
2,6,floor,saturate,97.66,8
4,4,floor,wrap,97.63,8
4,4,trunc,wrap,97.63,8
2,6,stochastic,saturate,97.63,8
4,4,ceil,wrap,97.59,8
4,4,stochastic,wrap,97.53,8
4,4,nearest,wrap,97.5,8
1,7,nearest,saturate,90.34,8
1,7,trunc,saturate,90.14,8
1,7,stochastic,saturate,90.08,8
1,7,ceil,saturate,90.0,8
1,7,floor,saturate,89.95,8
3,5,trunc,wrap,89.71,8
3,5,floor,wrap,89.54,8
3,5,ceil,wrap,89.53,8
3,5,stochastic,wrap,89.5,8
3,5,nearest,wrap,89.49,8
0,8,stochastic,saturate,48.5,8
0,8,trunc,saturate,48.32,8
0,8,nearest,saturate,48.31,8
0,8,floor,saturate,48.27,8
0,8,ceil,saturate,48.24,8
2,6,stochastic,wrap,11.8,8
2,6,ceil,wrap,11.63,8
2,6,floor,wrap,11.51,8
2,6,nearest,wrap,11.48,8
2,6,trunc,wrap,11.3,8
0,8,ceil,wrap,10.34,8
0,8,trunc,wrap,10.31,8
0,8,floor,wrap,10.02,8
1,7,ceil,wrap,9.89,8
0,8,stochastic,wrap,9.81,8
1,7,floor,wrap,9.74,8
0,8,nearest,wrap,9.74,8
1,7,nearest,wrap,9.7,8
1,7,trunc,wrap,9.49,8
1,7,stochastic,wrap,9.41,8
5,4,floor,saturate,97.84,9
4,5,floor,saturate,97.82,9
3,6,trunc,saturate,97.82,9
5,4,trunc,saturate,97.81,9
2,7,floor,saturate,97.79,9
5,4,floor,wrap,97.79,9
4,5,stochastic,saturate,97.79,9
3,6,ceil,saturate,97.78,9
5,4,nearest,wrap,97.78,9
5,4,stochastic,wrap,97.77,9
3,6,floor,saturate,97.76,9
3,6,nearest,saturate,97.76,9
4,5,nearest,saturate,97.76,9
5,4,ceil,saturate,97.75,9
5,4,stochastic,saturate,97.75,9
3,6,stochastic,saturate,97.74,9
4,5,ceil,saturate,97.73,9
5,4,ceil,wrap,97.73,9
2,7,stochastic,saturate,97.73,9
5,4,trunc,wrap,97.72,9
4,5,stochastic,wrap,97.71,9
2,7,trunc,saturate,97.69,9
5,4,nearest,saturate,97.69,9
4,5,trunc,saturate,97.68,9
4,5,ceil,wrap,97.67,9
2,7,ceil,saturate,97.65,9
4,5,nearest,wrap,97.59,9
2,7,nearest,saturate,97.57,9
4,5,floor,wrap,97.55,9
4,5,trunc,wrap,97.55,9
1,8,nearest,saturate,90.1,9
1,8,trunc,saturate,90.05,9
1,8,stochastic,saturate,90.0,9
1,8,ceil,saturate,89.93,9
1,8,floor,saturate,89.91,9
3,6,trunc,wrap,89.56,9
3,6,nearest,wrap,89.53,9
3,6,floor,wrap,89.51,9
3,6,ceil,wrap,89.46,9
3,6,stochastic,wrap,89.45,9
2,7,stochastic,wrap,11.5,9
2,7,floor,wrap,11.43,9
2,7,ceil,wrap,11.41,9
2,7,trunc,wrap,11.29,9
2,7,nearest,wrap,11.24,9
1,8,floor,wrap,10.19,9
1,8,trunc,wrap,9.94,9
1,8,stochastic,wrap,9.85,9
1,8,nearest,wrap,9.81,9
1,8,ceil,wrap,9.28,9
5,5,floor,wrap,97.91,10
4,6,nearest,saturate,97.9,10
3,7,floor,saturate,97.83,10
5,5,trunc,wrap,97.82,10
3,7,trunc,saturate,97.8,10
5,5,floor,saturate,97.78,10
5,5,nearest,wrap,97.78,10
4,6,trunc,saturate,97.77,10
5,5,stochastic,saturate,97.77,10
4,6,floor,saturate,97.76,10
4,6,nearest,wrap,97.76,10
2,8,stochastic,saturate,97.76,10
3,7,stochastic,saturate,97.76,10
5,5,stochastic,wrap,97.76,10
3,7,ceil,saturate,97.75,10
5,5,ceil,wrap,97.74,10
2,8,nearest,saturate,97.74,10
5,5,ceil,saturate,97.73,10
4,6,ceil,saturate,97.72,10
4,6,ceil,wrap,97.72,10
5,5,trunc,saturate,97.72,10
2,8,trunc,saturate,97.72,10
3,7,nearest,saturate,97.7,10
4,6,stochastic,saturate,97.7,10
2,8,floor,saturate,97.66,10
4,6,stochastic,wrap,97.66,10
5,5,nearest,saturate,97.62,10
4,6,trunc,wrap,97.6,10
4,6,floor,wrap,97.58,10
2,8,ceil,saturate,97.51,10
3,7,floor,wrap,89.59,10
3,7,ceil,wrap,89.55,10
3,7,nearest,wrap,89.46,10
3,7,trunc,wrap,89.4,10
3,7,stochastic,wrap,89.37,10
2,8,floor,wrap,11.58,10
2,8,trunc,wrap,11.58,10
2,8,ceil,wrap,11.47,10
2,8,nearest,wrap,11.44,10
2,8,stochastic,wrap,11.38,10
5,6,ceil,wrap,97.86,11
5,6,floor,wrap,97.83,11
4,7,nearest,saturate,97.8,11
4,7,nearest,wrap,97.8,11
3,8,floor,saturate,97.78,11
4,7,trunc,saturate,97.78,11
5,6,trunc,wrap,97.78,11
5,6,nearest,wrap,97.78,11
4,7,stochastic,saturate,97.78,11
4,7,ceil,saturate,97.76,11
3,8,nearest,saturate,97.75,11
5,6,ceil,saturate,97.74,11
5,6,trunc,saturate,97.74,11
3,8,trunc,saturate,97.73,11
3,8,ceil,saturate,97.72,11
5,6,nearest,saturate,97.72,11
5,6,floor,saturate,97.7,11
3,8,stochastic,saturate,97.7,11
5,6,stochastic,wrap,97.7,11
4,7,floor,wrap,97.67,11
4,7,floor,saturate,97.66,11
4,7,ceil,wrap,97.62,11
5,6,stochastic,saturate,97.6,11
4,7,stochastic,wrap,97.57,11
4,7,trunc,wrap,97.53,11
3,8,ceil,wrap,89.59,11
3,8,floor,wrap,89.57,11
3,8,stochastic,wrap,89.49,11
3,8,nearest,wrap,89.47,11
3,8,trunc,wrap,89.44,11
5,7,ceil,saturate,97.85,12
5,7,floor,saturate,97.8,12
5,7,trunc,saturate,97.8,12
5,7,trunc,wrap,97.8,12
5,7,stochastic,saturate,97.79,12
4,8,stochastic,saturate,97.78,12
4,8,nearest,saturate,97.77,12
5,7,ceil,wrap,97.75,12
5,7,nearest,wrap,97.75,12
4,8,floor,saturate,97.72,12
5,7,floor,wrap,97.7,12
4,8,ceil,saturate,97.69,12
5,7,nearest,saturate,97.69,12
4,8,trunc,saturate,97.68,12
5,7,stochastic,wrap,97.66,12
4,8,trunc,wrap,97.61,12
4,8,stochastic,wrap,97.61,12
4,8,ceil,wrap,97.56,12
4,8,nearest,wrap,97.54,12
4,8,floor,wrap,97.48,12
5,8,ceil,saturate,97.89,13
5,8,stochastic,saturate,97.86,13
5,8,trunc,saturate,97.79,13
5,8,trunc,wrap,97.79,13
5,8,floor,saturate,97.75,13
5,8,floor,wrap,97.75,13
