m,n,rounding,overflow,acc
0,0,nearest,wrap,9.8
0,1,nearest,wrap,9.8
0,2,nearest,wrap,10.16
0,3,nearest,wrap,10.34
0,4,nearest,wrap,10.0
0,5,nearest,wrap,9.77
0,6,nearest,wrap,10.27
0,7,nearest,wrap,9.95
0,8,nearest,wrap,10.03
1,0,nearest,wrap,10.17
1,1,nearest,wrap,10.37
1,2,nearest,wrap,9.86
1,3,nearest,wrap,10.25
1,4,nearest,wrap,9.61
1,5,nearest,wrap,9.9
1,6,nearest,wrap,10.55
1,7,nearest,wrap,10.14
1,8,nearest,wrap,9.79
2,0,nearest,wrap,10.63
2,1,nearest,wrap,10.42
2,2,nearest,wrap,8.28
2,3,nearest,wrap,7.16
2,4,nearest,wrap,6.63
2,5,nearest,wrap,6.5
2,6,nearest,wrap,6.35
2,7,nearest,wrap,6.6
2,8,nearest,wrap,6.43
3,0,nearest,wrap,79.36
3,1,nearest,wrap,78.81
3,2,nearest,wrap,71.0
3,3,nearest,wrap,67.91
3,4,nearest,wrap,66.48
3,5,nearest,wrap,65.04
3,6,nearest,wrap,64.96
3,7,nearest,wrap,64.25
3,8,nearest,wrap,64.29
4,0,nearest,wrap,98.31
4,1,nearest,wrap,98.18
4,2,nearest,wrap,98.42
4,3,nearest,wrap,98.18
4,4,nearest,wrap,98.38
4,5,nearest,wrap,98.33
4,6,nearest,wrap,98.37
4,7,nearest,wrap,98.2
4,8,nearest,wrap,98.3
5,0,nearest,wrap,98.32
5,1,nearest,wrap,98.34
5,2,nearest,wrap,98.32
5,3,nearest,wrap,98.27
5,4,nearest,wrap,98.3
5,5,nearest,wrap,98.36
5,6,nearest,wrap,98.31
5,7,nearest,wrap,98.34
5,8,nearest,wrap,98.38
