m,n,rounding,overflow,acc
0,0,ceil,saturate,9.8
0,1,ceil,saturate,9.8
0,2,ceil,saturate,97.69
0,3,ceil,saturate,97.73
0,4,ceil,saturate,97.65
0,5,ceil,saturate,97.73
0,6,ceil,saturate,97.81
0,7,ceil,saturate,97.79
0,8,ceil,saturate,97.71
1,0,ceil,saturate,97.26
1,1,ceil,saturate,97.71
1,2,ceil,saturate,97.72
1,3,ceil,saturate,97.67
1,4,ceil,saturate,97.74
1,5,ceil,saturate,97.76
1,6,ceil,saturate,97.76
1,7,ceil,saturate,97.66
1,8,ceil,saturate,97.74
2,0,ceil,saturate,97.33
2,1,ceil,saturate,97.7
2,2,ceil,saturate,97.74
2,3,ceil,saturate,97.74
2,4,ceil,saturate,97.78
2,5,ceil,saturate,97.75
2,6,ceil,saturate,97.63
2,7,ceil,saturate,97.75
2,8,ceil,saturate,97.7
3,0,ceil,saturate,97.24
3,1,ceil,saturate,97.79
3,2,ceil,saturate,97.73
3,3,ceil,saturate,97.63
3,4,ceil,saturate,97.64
3,5,ceil,saturate,97.77
3,6,ceil,saturate,97.77
3,7,ceil,saturate,97.7
3,8,ceil,saturate,97.74
4,0,ceil,saturate,97.29
4,1,ceil,saturate,97.7
4,2,ceil,saturate,97.78
4,3,ceil,saturate,97.75
4,4,ceil,saturate,97.76
4,5,ceil,saturate,97.77
4,6,ceil,saturate,97.7
4,7,ceil,saturate,97.7
4,8,ceil,saturate,97.74
5,0,ceil,saturate,97.22
5,1,ceil,saturate,97.75
5,2,ceil,saturate,97.89
5,3,ceil,saturate,97.67
5,4,ceil,saturate,97.75
5,5,ceil,saturate,97.75
5,6,ceil,saturate,97.76
5,7,ceil,saturate,97.69
5,8,ceil,saturate,97.73
