m,n,rounding,overflow,acc
0,0,ceil,saturate,9.8
0,1,ceil,saturate,9.8
0,2,ceil,saturate,9.8
0,3,ceil,saturate,11.37
0,4,ceil,saturate,29.5
0,5,ceil,saturate,80.22
0,6,ceil,saturate,96.53
0,7,ceil,saturate,98.07
0,8,ceil,saturate,98.25
1,0,ceil,saturate,9.8
1,1,ceil,saturate,9.8
1,2,ceil,saturate,9.8
1,3,ceil,saturate,11.36
1,4,ceil,saturate,29.82
1,5,ceil,saturate,80.06
1,6,ceil,saturate,96.72
1,7,ceil,saturate,98.04
1,8,ceil,saturate,98.21
2,0,ceil,saturate,9.8
2,1,ceil,saturate,9.8
2,2,ceil,saturate,9.8
2,3,ceil,saturate,11.37
2,4,ceil,saturate,29.85
2,5,ceil,saturate,80.61
2,6,ceil,saturate,96.63
2,7,ceil,saturate,97.93
2,8,ceil,saturate,98.14
3,0,ceil,saturate,9.8
3,1,ceil,saturate,9.8
3,2,ceil,saturate,9.8
3,3,ceil,saturate,11.37
3,4,ceil,saturate,29.87
3,5,ceil,saturate,80.34
3,6,ceil,saturate,96.63
3,7,ceil,saturate,98.02
3,8,ceil,saturate,98.2
4,0,ceil,saturate,9.8
4,1,ceil,saturate,9.8
4,2,ceil,saturate,9.8
4,3,ceil,saturate,11.37
4,4,ceil,saturate,29.78
4,5,ceil,saturate,80.11
4,6,ceil,saturate,96.66
4,7,ceil,saturate,98.15
4,8,ceil,saturate,98.23
5,0,ceil,saturate,9.8
5,1,ceil,saturate,9.8
5,2,ceil,saturate,9.8
5,3,ceil,saturate,11.37
5,4,ceil,saturate,29.69
5,5,ceil,saturate,80.37
5,6,ceil,saturate,96.67
5,7,ceil,saturate,98.05
5,8,ceil,saturate,98.22
