m,n,rounding,overflow,acc
0,0,stochastic,wrap,9.8
0,1,stochastic,wrap,9.8
0,2,stochastic,wrap,9.79
0,3,stochastic,wrap,10.4
0,4,stochastic,wrap,9.93
0,5,stochastic,wrap,9.95
0,6,stochastic,wrap,9.46
0,7,stochastic,wrap,9.87
0,8,stochastic,wrap,10.09
1,0,stochastic,wrap,10.27
1,1,stochastic,wrap,10.34
1,2,stochastic,wrap,9.76
1,3,stochastic,wrap,9.97
1,4,stochastic,wrap,9.82
1,5,stochastic,wrap,10.13
1,6,stochastic,wrap,9.75
1,7,stochastic,wrap,9.91
1,8,stochastic,wrap,9.76
2,0,stochastic,wrap,4.02
2,1,stochastic,wrap,4.2
2,2,stochastic,wrap,4.42
2,3,stochastic,wrap,3.91
2,4,stochastic,wrap,4.06
2,5,stochastic,wrap,3.88
2,6,stochastic,wrap,3.82
2,7,stochastic,wrap,3.94
2,8,stochastic,wrap,4.03
3,0,stochastic,wrap,93.85
3,1,stochastic,wrap,95.0
3,2,stochastic,wrap,94.4
3,3,stochastic,wrap,93.97
3,4,stochastic,wrap,93.69
3,5,stochastic,wrap,93.89
3,6,stochastic,wrap,93.61
3,7,stochastic,wrap,93.67
3,8,stochastic,wrap,93.71
4,0,stochastic,wrap,98.53
4,1,stochastic,wrap,98.49
4,2,stochastic,wrap,98.58
4,3,stochastic,wrap,98.63
4,4,stochastic,wrap,98.59
4,5,stochastic,wrap,98.55
4,6,stochastic,wrap,98.57
4,7,stochastic,wrap,98.53
4,8,stochastic,wrap,98.54
5,0,stochastic,wrap,98.61
5,1,stochastic,wrap,98.56
5,2,stochastic,wrap,98.55
5,3,stochastic,wrap,98.57
5,4,stochastic,wrap,98.63
5,5,stochastic,wrap,98.65
5,6,stochastic,wrap,98.73
5,7,stochastic,wrap,98.61
5,8,stochastic,wrap,98.62
