m,n,rounding,overflow,acc
4,7,trunc,saturate,98.37
4,6,trunc,saturate,98.34
5,2,trunc,saturate,98.33
3,7,trunc,saturate,98.31
5,8,trunc,saturate,98.31
4,5,trunc,saturate,98.28
5,6,trunc,saturate,98.28
4,4,trunc,saturate,98.27
5,7,trunc,saturate,98.27
4,3,trunc,saturate,98.27
3,2,trunc,saturate,98.25
5,4,trunc,saturate,98.25
4,8,trunc,saturate,98.25
3,8,trunc,saturate,98.22
3,5,trunc,saturate,98.2
5,3,trunc,saturate,98.2
5,5,trunc,saturate,98.2
4,2,trunc,saturate,98.19
3,4,trunc,saturate,98.18
2,4,trunc,saturate,98.17
3,6,trunc,saturate,98.16
2,5,trunc,saturate,98.15
2,7,trunc,saturate,98.14
3,3,trunc,saturate,98.12
2,6,trunc,saturate,98.11
2,3,trunc,saturate,98.1
2,2,trunc,saturate,98.09
2,8,trunc,saturate,98.09
1,6,trunc,saturate,90.41
1,4,trunc,saturate,90.37
1,8,trunc,saturate,90.36
1,7,trunc,saturate,90.25
1,5,trunc,saturate,90.25
1,3,trunc,saturate,90.12
1,2,trunc,saturate,88.76
0,8,trunc,saturate,47.54
0,6,trunc,saturate,47.35
0,5,trunc,saturate,47.33
0,7,trunc,saturate,47.13
0,3,trunc,saturate,47.12
0,4,trunc,saturate,47.02
0,2,trunc,saturate,37.41
0,1,trunc,saturate,9.8
0,0,trunc,saturate,9.8
1,0,trunc,saturate,9.8
1,1,trunc,saturate,9.8
2,0,trunc,saturate,9.8
2,1,trunc,saturate,9.8
3,0,trunc,saturate,9.8
3,1,trunc,saturate,9.8
4,1,trunc,saturate,9.8
4,0,trunc,saturate,9.8
5,0,trunc,saturate,9.8
5,1,trunc,saturate,9.8
