m,n,rounding,overflow,acc
0,0,ceil,saturate,9.8
0,1,ceil,saturate,9.8
0,2,ceil,saturate,98.31
0,3,ceil,saturate,98.26
0,4,ceil,saturate,98.39
0,5,ceil,saturate,98.4
0,6,ceil,saturate,98.34
0,7,ceil,saturate,98.43
0,8,ceil,saturate,98.29
1,0,ceil,saturate,97.68
1,1,ceil,saturate,98.32
1,2,ceil,saturate,98.3
1,3,ceil,saturate,98.31
1,4,ceil,saturate,98.28
1,5,ceil,saturate,98.33
1,6,ceil,saturate,98.35
1,7,ceil,saturate,98.29
1,8,ceil,saturate,98.37
2,0,ceil,saturate,97.79
2,1,ceil,saturate,98.33
2,2,ceil,saturate,98.36
2,3,ceil,saturate,98.34
2,4,ceil,saturate,98.33
2,5,ceil,saturate,98.3
2,6,ceil,saturate,98.36
2,7,ceil,saturate,98.31
2,8,ceil,saturate,98.28
3,0,ceil,saturate,97.75
3,1,ceil,saturate,98.39
3,2,ceil,saturate,98.42
3,3,ceil,saturate,98.35
3,4,ceil,saturate,98.33
3,5,ceil,saturate,98.39
3,6,ceil,saturate,98.33
3,7,ceil,saturate,98.35
3,8,ceil,saturate,98.38
4,0,ceil,saturate,97.92
4,1,ceil,saturate,98.3
4,2,ceil,saturate,98.35
4,3,ceil,saturate,98.39
4,4,ceil,saturate,98.31
4,5,ceil,saturate,98.36
4,6,ceil,saturate,98.4
4,7,ceil,saturate,98.34
4,8,ceil,saturate,98.33
5,0,ceil,saturate,97.75
5,1,ceil,saturate,98.44
5,2,ceil,saturate,98.31
5,3,ceil,saturate,98.36
5,4,ceil,saturate,98.27
5,5,ceil,saturate,98.4
5,6,ceil,saturate,98.37
5,7,ceil,saturate,98.34
5,8,ceil,saturate,98.31
