m,n,rounding,overflow,acc,bits
0,0,floor,saturate,9.8,0
0,0,floor,wrap,9.8,0
0,0,ceil,saturate,9.8,0
0,0,ceil,wrap,9.8,0
0,0,trunc,saturate,9.8,0
0,0,trunc,wrap,9.8,0
0,0,nearest,saturate,9.8,0
0,0,nearest,wrap,9.8,0
0,0,stochastic,saturate,9.8,0
0,0,stochastic,wrap,9.8,0
1,0,ceil,wrap,10.49,1
1,0,floor,wrap,10.16,1
1,0,stochastic,saturate,10.15,1
0,1,floor,saturate,9.8,1
1,0,floor,saturate,9.8,1
0,1,floor,wrap,9.8,1
0,1,ceil,saturate,9.8,1
1,0,ceil,saturate,9.8,1
0,1,ceil,wrap,9.8,1
0,1,trunc,saturate,9.8,1
1,0,trunc,saturate,9.8,1
0,1,trunc,wrap,9.8,1
1,0,trunc,wrap,9.8,1
0,1,nearest,saturate,9.8,1
1,0,nearest,saturate,9.8,1
0,1,nearest,wrap,9.8,1
0,1,stochastic,saturate,9.8,1
0,1,stochastic,wrap,9.8,1
1,0,stochastic,wrap,9.65,1
1,0,nearest,wrap,9.52,1
0,2,nearest,saturate,98.36,2
1,1,nearest,saturate,32.13,2
0,2,stochastic,saturate,11.82,2
2,0,stochastic,wrap,10.31,2
1,1,ceil,wrap,10.27,2
0,2,ceil,wrap,10.24,2
0,2,nearest,wrap,10.18,2
1,1,stochastic,saturate,10.16,2
0,2,trunc,saturate,10.14,2
0,2,stochastic,wrap,10.06,2
1,1,stochastic,wrap,10.01,2
1,1,nearest,wrap,9.95,2
2,0,floor,wrap,9.91,2
2,0,ceil,wrap,9.89,2
0,2,floor,wrap,9.88,2
2,0,stochastic,saturate,9.82,2
0,2,floor,saturate,9.8,2
1,1,floor,saturate,9.8,2
2,0,floor,saturate,9.8,2
0,2,ceil,saturate,9.8,2
1,1,ceil,saturate,9.8,2
2,0,ceil,saturate,9.8,2
1,1,trunc,saturate,9.8,2
2,0,trunc,saturate,9.8,2
1,1,trunc,wrap,9.8,2
2,0,trunc,wrap,9.8,2
2,0,nearest,saturate,9.8,2
2,0,nearest,wrap,9.8,2
0,2,trunc,wrap,9.79,2
1,1,floor,wrap,9.74,2
0,3,nearest,saturate,98.59,3
1,2,nearest,saturate,98.29,3
0,3,trunc,saturate,97.09,3
0,3,stochastic,saturate,51.12,3
2,1,nearest,saturate,32.28,3
1,2,stochastic,saturate,12.34,3
0,3,floor,wrap,10.79,3
3,0,stochastic,wrap,10.48,3
2,1,stochastic,saturate,10.45,3
0,3,trunc,wrap,10.37,3
1,2,ceil,wrap,10.3,3
2,1,stochastic,wrap,10.19,3
1,2,trunc,saturate,10.13,3
0,3,nearest,wrap,10.13,3
3,0,floor,wrap,10.12,3
3,0,stochastic,saturate,10.1,3
2,1,floor,wrap,10.06,3
1,2,nearest,wrap,9.96,3
1,2,floor,wrap,9.9,3
2,1,ceil,wrap,9.84,3
0,3,floor,saturate,9.82,3
1,2,floor,saturate,9.8,3
2,1,floor,saturate,9.8,3
3,0,floor,saturate,9.8,3
1,2,ceil,saturate,9.8,3
2,1,ceil,saturate,9.8,3
3,0,ceil,saturate,9.8,3
2,1,trunc,saturate,9.8,3
3,0,trunc,saturate,9.8,3
2,1,trunc,wrap,9.8,3
3,0,trunc,wrap,9.8,3
3,0,nearest,saturate,9.8,3
3,0,nearest,wrap,9.8,3
0,3,ceil,saturate,9.79,3
1,2,stochastic,wrap,9.78,3
0,3,ceil,wrap,9.73,3
0,3,stochastic,wrap,9.54,3
3,0,ceil,wrap,9.24,3
1,2,trunc,wrap,8.05,3
2,1,nearest,wrap,7.9,3
0,4,nearest,saturate,98.76,4
1,3,nearest,saturate,98.68,4
0,4,trunc,saturate,98.57,4
2,2,nearest,saturate,98.35,4
1,3,trunc,saturate,97.24,4
0,4,stochastic,saturate,93.45,4
1,3,stochastic,saturate,47.45,4
0,4,floor,saturate,32.15,4
3,1,nearest,saturate,31.87,4
3,1,nearest,wrap,24.16,4
2,2,stochastic,saturate,13.43,4
3,1,ceil,wrap,11.77,4
2,2,ceil,wrap,11.01,4
0,4,ceil,wrap,10.68,4
2,2,floor,wrap,10.64,4
3,1,floor,wrap,10.63,4
0,4,ceil,saturate,10.58,4
4,0,floor,wrap,10.57,4
4,0,stochastic,wrap,10.56,4
0,4,trunc,wrap,10.45,4
1,3,floor,wrap,10.37,4
0,4,floor,wrap,10.31,4
3,1,stochastic,wrap,10.28,4
4,0,ceil,wrap,10.17,4
2,2,trunc,saturate,10.17,4
0,4,stochastic,wrap,10.15,4
2,2,stochastic,wrap,10.02,4
0,4,nearest,wrap,10.01,4
3,1,stochastic,saturate,10.0,4
1,3,nearest,wrap,9.93,4
1,3,stochastic,wrap,9.92,4
1,3,floor,saturate,9.82,4
2,2,floor,saturate,9.8,4
3,1,floor,saturate,9.8,4
4,0,floor,saturate,9.8,4
2,2,ceil,saturate,9.8,4
3,1,ceil,saturate,9.8,4
4,0,ceil,saturate,9.8,4
3,1,trunc,saturate,9.8,4
4,0,trunc,saturate,9.8,4
3,1,trunc,wrap,9.8,4
4,0,trunc,wrap,9.8,4
4,0,nearest,saturate,9.8,4
4,0,nearest,wrap,9.8,4
1,3,ceil,saturate,9.79,4
1,3,ceil,wrap,9.75,4
4,0,stochastic,saturate,9.21,4
1,3,trunc,wrap,8.75,4
2,2,trunc,wrap,8.42,4
2,2,nearest,wrap,8.23,4
0,5,nearest,saturate,98.74,5
1,4,nearest,saturate,98.71,5
0,5,trunc,saturate,98.67,5
2,3,nearest,saturate,98.64,5
1,4,trunc,saturate,98.61,5
3,2,nearest,saturate,98.29,5
0,5,stochastic,saturate,98.14,5
2,3,trunc,saturate,97.02,5
1,4,stochastic,saturate,93.57,5
0,5,floor,saturate,91.5,5
0,5,ceil,saturate,90.06,5
3,2,nearest,wrap,70.95,5
2,3,stochastic,saturate,48.15,5
4,1,nearest,wrap,32.48,5
4,1,nearest,saturate,32.34,5
1,4,floor,saturate,32.22,5
3,2,stochastic,saturate,12.23,5
4,1,ceil,wrap,12.03,5
3,2,floor,wrap,11.78,5
5,0,ceil,wrap,11.29,5
3,2,stochastic,wrap,10.83,5
1,4,ceil,wrap,10.57,5
0,5,stochastic,wrap,10.48,5
5,0,floor,wrap,10.39,5
1,4,ceil,saturate,10.38,5
0,5,floor,wrap,10.22,5
0,5,ceil,wrap,10.18,5
4,1,stochastic,wrap,10.18,5
4,1,stochastic,saturate,10.17,5
3,2,trunc,saturate,10.15,5
3,2,trunc,wrap,10.08,5
0,5,trunc,wrap,10.02,5
5,0,stochastic,saturate,10.02,5
1,4,floor,wrap,9.94,5
1,4,nearest,wrap,9.91,5
4,1,floor,wrap,9.87,5
2,3,floor,saturate,9.82,5
3,2,floor,saturate,9.8,5
4,1,floor,saturate,9.8,5
5,0,floor,saturate,9.8,5
2,3,ceil,saturate,9.8,5
3,2,ceil,saturate,9.8,5
4,1,ceil,saturate,9.8,5
5,0,ceil,saturate,9.8,5
4,1,trunc,saturate,9.8,5
5,0,trunc,saturate,9.8,5
4,1,trunc,wrap,9.8,5
5,0,trunc,wrap,9.8,5
5,0,nearest,saturate,9.8,5
5,0,nearest,wrap,9.8,5
0,5,nearest,wrap,9.73,5
1,4,trunc,wrap,9.46,5
2,3,trunc,wrap,9.46,5
1,4,stochastic,wrap,9.44,5
2,3,floor,wrap,9.41,5
2,3,stochastic,wrap,9.38,5
5,0,stochastic,wrap,8.24,5
2,3,ceil,wrap,8.15,5
2,3,nearest,wrap,7.99,5
3,2,ceil,wrap,7.57,5
2,4,nearest,saturate,98.76,6
1,5,trunc,saturate,98.75,6
0,6,nearest,saturate,98.74,6
1,5,nearest,saturate,98.71,6
0,6,trunc,saturate,98.68,6
3,3,nearest,saturate,98.62,6
2,4,trunc,saturate,98.61,6
0,6,stochastic,saturate,98.61,6
4,2,nearest,wrap,98.41,6
4,2,nearest,saturate,98.38,6
0,6,ceil,saturate,98.14,6
0,6,floor,saturate,98.09,6
1,5,stochastic,saturate,98.03,6
3,3,trunc,saturate,97.21,6
3,3,trunc,wrap,94.58,6
2,4,stochastic,saturate,92.89,6
1,5,floor,saturate,91.47,6
1,5,ceil,saturate,89.9,6
3,3,nearest,wrap,79.85,6
3,3,stochastic,saturate,51.6,6
5,1,nearest,saturate,31.96,6
5,1,nearest,wrap,31.96,6
2,4,floor,saturate,31.63,6
3,3,stochastic,wrap,16.4,6
5,1,ceil,wrap,13.86,6
4,2,stochastic,saturate,13.53,6
2,4,trunc,wrap,10.96,6
0,6,ceil,wrap,10.65,6
5,1,stochastic,saturate,10.41,6
2,4,ceil,saturate,10.4,6
0,6,stochastic,wrap,10.39,6
0,6,nearest,wrap,10.37,6
4,2,ceil,wrap,10.29,6
0,6,trunc,wrap,10.23,6
1,5,stochastic,wrap,10.14,6
4,2,trunc,wrap,10.13,6
2,4,ceil,wrap,10.12,6
4,2,trunc,saturate,10.12,6
1,5,trunc,wrap,10.12,6
1,5,nearest,wrap,10.08,6
4,2,stochastic,wrap,10.08,6
1,5,floor,wrap,9.89,6
0,6,floor,wrap,9.86,6
3,3,floor,saturate,9.82,6
1,5,ceil,wrap,9.81,6
4,2,floor,saturate,9.8,6
5,1,floor,saturate,9.8,6
4,2,ceil,saturate,9.8,6
5,1,ceil,saturate,9.8,6
5,1,trunc,saturate,9.8,6
5,1,trunc,wrap,9.8,6
3,3,ceil,saturate,9.79,6
5,1,floor,wrap,9.45,6
2,4,stochastic,wrap,9.32,6
2,4,floor,wrap,9.06,6
3,3,floor,wrap,8.79,6
4,2,floor,wrap,8.28,6
5,1,stochastic,wrap,7.93,6
3,3,ceil,wrap,7.43,6
2,4,nearest,wrap,6.83,6
3,4,nearest,saturate,98.86,7
0,7,trunc,saturate,98.72,7
0,7,nearest,saturate,98.72,7
2,5,trunc,saturate,98.7,7
2,5,nearest,saturate,98.7,7
1,6,trunc,saturate,98.68,7
1,6,nearest,saturate,98.67,7
0,7,stochastic,saturate,98.66,7
4,3,nearest,saturate,98.64,7
1,6,stochastic,saturate,98.63,7
0,7,ceil,saturate,98.62,7
3,4,trunc,saturate,98.62,7
4,3,nearest,wrap,98.62,7
0,7,floor,saturate,98.61,7
5,2,nearest,saturate,98.32,7
5,2,nearest,wrap,98.32,7
2,5,stochastic,saturate,98.22,7
1,6,ceil,saturate,98.08,7
1,6,floor,saturate,97.96,7
4,3,trunc,wrap,97.14,7
4,3,trunc,saturate,97.12,7
3,4,trunc,wrap,95.01,7
3,4,stochastic,saturate,93.28,7
2,5,floor,saturate,91.49,7
2,5,ceil,saturate,90.29,7
3,4,nearest,wrap,80.94,7
4,3,stochastic,saturate,50.12,7
4,3,stochastic,wrap,46.15,7
3,4,stochastic,wrap,44.38,7
3,4,floor,saturate,31.97,7
3,4,floor,wrap,16.93,7
3,4,ceil,wrap,12.35,7
2,5,stochastic,wrap,12.06,7
5,2,stochastic,saturate,11.9,7
1,6,trunc,wrap,11.11,7
5,2,stochastic,wrap,10.99,7
2,5,floor,wrap,10.43,7
3,4,ceil,saturate,10.32,7
0,7,floor,wrap,10.2,7
5,2,trunc,saturate,10.16,7
5,2,trunc,wrap,10.16,7
0,7,trunc,wrap,10.03,7
0,7,stochastic,wrap,9.96,7
1,6,ceil,wrap,9.95,7
1,6,nearest,wrap,9.95,7
1,6,stochastic,wrap,9.95,7
5,2,ceil,wrap,9.88,7
4,3,floor,saturate,9.82,7
0,7,nearest,wrap,9.82,7
5,2,floor,saturate,9.8,7
4,3,ceil,saturate,9.8,7
5,2,ceil,saturate,9.8,7
1,6,floor,wrap,9.78,7
0,7,ceil,wrap,9.78,7
4,3,ceil,wrap,9.6,7
2,5,trunc,wrap,9.6,7
5,2,floor,wrap,9.08,7
4,3,floor,wrap,7.52,7
2,5,ceil,wrap,6.92,7
2,5,nearest,wrap,6.83,7
3,5,trunc,saturate,98.79,8
2,6,nearest,saturate,98.78,8
2,6,trunc,saturate,98.77,8
1,7,nearest,saturate,98.74,8
0,8,nearest,saturate,98.72,8
1,7,trunc,saturate,98.71,8
4,4,nearest,saturate,98.71,8
4,4,nearest,wrap,98.71,8
0,8,trunc,saturate,98.69,8
3,5,nearest,saturate,98.68,8
0,8,stochastic,saturate,98.68,8
0,8,ceil,saturate,98.67,8
5,3,nearest,saturate,98.65,8
5,3,nearest,wrap,98.65,8
0,8,floor,saturate,98.62,8
1,7,floor,saturate,98.62,8
1,7,stochastic,saturate,98.62,8
4,4,trunc,saturate,98.56,8
2,6,stochastic,saturate,98.55,8
1,7,ceil,saturate,98.54,8
4,4,trunc,wrap,98.54,8
3,5,stochastic,saturate,98.17,8
2,6,floor,saturate,98.13,8
2,6,ceil,saturate,98.03,8
5,3,trunc,saturate,97.28,8
5,3,trunc,wrap,97.28,8
4,4,stochastic,saturate,93.21,8
4,4,stochastic,wrap,92.6,8
3,5,floor,saturate,91.62,8
3,5,trunc,wrap,90.75,8
3,5,ceil,saturate,90.1,8
3,5,nearest,wrap,79.18,8
3,5,stochastic,wrap,66.08,8
3,5,floor,wrap,55.66,8
5,3,stochastic,saturate,54.07,8
5,3,stochastic,wrap,53.79,8
4,4,floor,saturate,31.94,8
4,4,floor,wrap,30.67,8
3,5,ceil,wrap,23.76,8
2,6,floor,wrap,11.33,8
0,8,ceil,wrap,10.46,8
1,7,floor,wrap,10.41,8
0,8,floor,wrap,10.36,8
4,4,ceil,saturate,10.32,8
1,7,stochastic,wrap,10.26,8
1,7,nearest,wrap,10.16,8
1,7,ceil,wrap,9.98,8
0,8,stochastic,wrap,9.86,8
5,3,floor,saturate,9.82,8
0,8,nearest,wrap,9.82,8
5,3,ceil,saturate,9.79,8
5,3,ceil,wrap,9.79,8
1,7,trunc,wrap,9.78,8
0,8,trunc,wrap,9.72,8
5,3,floor,wrap,9.62,8
2,6,stochastic,wrap,7.75,8
2,6,trunc,wrap,7.67,8
2,6,ceil,wrap,7.31,8
2,6,nearest,wrap,6.74,8
4,4,ceil,wrap,3.32,8
2,7,stochastic,saturate,98.81,9
2,7,trunc,saturate,98.8,9
4,5,nearest,saturate,98.76,9
3,6,trunc,saturate,98.74,9
2,7,nearest,saturate,98.74,9
1,8,nearest,saturate,98.73,9
5,4,nearest,saturate,98.73,9
4,5,nearest,wrap,98.73,9
5,4,nearest,wrap,98.73,9
1,8,floor,saturate,98.72,9
1,8,trunc,saturate,98.72,9
4,5,trunc,saturate,98.72,9
3,6,nearest,saturate,98.72,9
4,5,trunc,wrap,98.71,9
1,8,stochastic,saturate,98.69,9
1,8,ceil,saturate,98.68,9
3,6,stochastic,saturate,98.65,9
5,4,trunc,saturate,98.62,9
5,4,trunc,wrap,98.62,9
2,7,ceil,saturate,98.6,9
2,7,floor,saturate,98.53,9
4,5,stochastic,saturate,98.25,9
4,5,stochastic,wrap,98.23,9
3,6,ceil,saturate,98.16,9
3,6,floor,saturate,98.1,9
5,4,stochastic,saturate,93.86,9
5,4,stochastic,wrap,93.86,9
4,5,floor,wrap,91.61,9
4,5,floor,saturate,91.56,9
4,5,ceil,saturate,90.05,9
4,5,ceil,wrap,89.1,9
3,6,trunc,wrap,85.75,9
3,6,nearest,wrap,79.06,9
3,6,floor,wrap,73.19,9
3,6,stochastic,wrap,73.12,9
3,6,ceil,wrap,70.55,9
5,4,floor,wrap,31.96,9
5,4,floor,saturate,31.92,9
5,4,ceil,saturate,10.34,9
5,4,ceil,wrap,10.34,9
1,8,floor,wrap,10.12,9
1,8,trunc,wrap,10.09,9
1,8,ceil,wrap,10.0,9
1,8,nearest,wrap,9.78,9
1,8,stochastic,wrap,9.58,9
2,7,ceil,wrap,8.49,9
2,7,floor,wrap,6.85,9
2,7,trunc,wrap,6.57,9
2,7,nearest,wrap,6.25,9
2,7,stochastic,wrap,5.91,9
2,8,stochastic,saturate,98.8,10
3,7,trunc,saturate,98.74,10
5,5,trunc,saturate,98.74,10
5,5,trunc,wrap,98.74,10
3,7,nearest,saturate,98.74,10
2,8,nearest,saturate,98.73,10
5,5,nearest,saturate,98.72,10
5,5,nearest,wrap,98.72,10
2,8,ceil,saturate,98.69,10
2,8,trunc,saturate,98.69,10
4,6,nearest,wrap,98.68,10
2,8,floor,saturate,98.67,10
4,6,nearest,saturate,98.67,10
4,6,stochastic,saturate,98.67,10
4,6,stochastic,wrap,98.67,10
3,7,stochastic,saturate,98.66,10
4,6,trunc,saturate,98.65,10
4,6,trunc,wrap,98.65,10
3,7,ceil,saturate,98.6,10
3,7,floor,saturate,98.52,10
5,5,stochastic,saturate,98.23,10
5,5,stochastic,wrap,98.23,10
4,6,ceil,saturate,98.09,10
4,6,ceil,wrap,98.09,10
4,6,floor,saturate,98.03,10
4,6,floor,wrap,98.01,10
5,5,floor,saturate,91.5,10
5,5,floor,wrap,91.5,10
5,5,ceil,saturate,90.15,10
5,5,ceil,wrap,90.15,10
3,7,trunc,wrap,82.28,10
3,7,nearest,wrap,78.23,10
3,7,floor,wrap,77.16,10
3,7,stochastic,wrap,76.14,10
3,7,ceil,wrap,76.12,10
2,8,ceil,wrap,8.16,10
2,8,trunc,wrap,6.68,10
2,8,nearest,wrap,6.31,10
2,8,floor,wrap,5.65,10
2,8,stochastic,wrap,5.24,10
5,6,nearest,saturate,98.8,11
5,6,nearest,wrap,98.8,11
4,7,stochastic,saturate,98.79,11
4,7,trunc,saturate,98.76,11
4,7,trunc,wrap,98.75,11
3,8,nearest,saturate,98.75,11
4,7,stochastic,wrap,98.74,11
3,8,ceil,saturate,98.72,11
5,6,trunc,saturate,98.72,11
5,6,trunc,wrap,98.72,11
4,7,nearest,wrap,98.72,11
3,8,stochastic,saturate,98.72,11
4,7,nearest,saturate,98.71,11
3,8,trunc,saturate,98.69,11
3,8,floor,saturate,98.64,11
5,6,stochastic,saturate,98.64,11
5,6,stochastic,wrap,98.64,11
4,7,floor,wrap,98.6,11
4,7,ceil,wrap,98.59,11
4,7,ceil,saturate,98.58,11
4,7,floor,saturate,98.57,11
5,6,ceil,saturate,98.14,11
5,6,ceil,wrap,98.14,11
5,6,floor,saturate,98.07,11
5,6,floor,wrap,98.07,11
3,8,trunc,wrap,80.35,11
3,8,nearest,wrap,78.65,11
3,8,floor,wrap,78.43,11
3,8,ceil,wrap,77.78,11
3,8,stochastic,wrap,76.81,11
5,7,nearest,saturate,98.76,12
5,7,nearest,wrap,98.76,12
4,8,stochastic,wrap,98.76,12
4,8,nearest,saturate,98.74,12
4,8,trunc,wrap,98.73,12
4,8,nearest,wrap,98.73,12
4,8,trunc,saturate,98.72,12
5,7,trunc,saturate,98.72,12
5,7,trunc,wrap,98.72,12
4,8,ceil,saturate,98.71,12
4,8,stochastic,saturate,98.71,12
4,8,ceil,wrap,98.7,12
4,8,floor,saturate,98.69,12
4,8,floor,wrap,98.69,12
5,7,stochastic,saturate,98.64,12
5,7,stochastic,wrap,98.64,12
5,7,ceil,saturate,98.6,12
5,7,ceil,wrap,98.6,12
5,7,floor,saturate,98.58,12
5,7,floor,wrap,98.58,12
5,8,trunc,saturate,98.77,13
5,8,trunc,wrap,98.77,13
5,8,nearest,saturate,98.76,13
5,8,nearest,wrap,98.76,13
5,8,floor,saturate,98.71,13
5,8,floor,wrap,98.71,13
