m,n,rounding,overflow,acc,bits
0.0,0.0,floor,saturate,9.8,0.0
0.0,0.0,floor,wrap,9.8,0.0
0.0,0.0,ceil,saturate,9.8,0.0
0.0,0.0,ceil,wrap,9.8,0.0
0.0,0.0,trunc,saturate,9.8,0.0
0.0,0.0,trunc,wrap,9.8,0.0
0.0,0.0,nearest,saturate,9.8,0.0
0.0,0.0,nearest,wrap,9.8,0.0
0.0,0.0,stochastic,saturate,9.8,0.0
0.0,0.0,stochastic,wrap,9.8,0.0
0.0,1.0,nearest,saturate,47.35,1.0
0.0,1.0,nearest,wrap,46.73,1.0
1.0,0.0,nearest,saturate,11.14,1.0
1.0,0.0,nearest,wrap,11.14,1.0
0.0,1.0,trunc,saturate,10.79,1.0
0.0,1.0,trunc,wrap,10.79,1.0
0.0,1.0,stochastic,wrap,10.67,1.0
0.0,1.0,stochastic,saturate,10.52,1.0
1.0,0.0,stochastic,saturate,9.88,1.0
1.0,0.0,stochastic,wrap,9.88,1.0
0.0,1.0,floor,saturate,9.8,1.0
1.0,0.0,floor,saturate,9.8,1.0
0.0,1.0,floor,wrap,9.8,1.0
1.0,0.0,floor,wrap,9.8,1.0
0.0,1.0,ceil,saturate,9.8,1.0
1.0,0.0,ceil,saturate,9.8,1.0
0.0,1.0,ceil,wrap,9.8,1.0
1.0,0.0,ceil,wrap,9.8,1.0
1.0,0.0,trunc,saturate,9.8,1.0
1.0,0.0,trunc,wrap,9.8,1.0
0.0,2.0,nearest,saturate,97.73,2.0
0.0,2.0,nearest,wrap,97.52,2.0
1.0,1.0,nearest,saturate,47.48,2.0
1.0,1.0,nearest,wrap,47.48,2.0
0.0,2.0,trunc,saturate,34.99,2.0
0.0,2.0,trunc,wrap,34.98,2.0
0.0,2.0,stochastic,saturate,12.53,2.0
0.0,2.0,stochastic,wrap,12.52,2.0
2.0,0.0,nearest,saturate,11.19,2.0
2.0,0.0,nearest,wrap,11.19,2.0
1.0,1.0,trunc,saturate,10.84,2.0
1.0,1.0,trunc,wrap,10.84,2.0
1.0,1.0,stochastic,saturate,10.76,2.0
1.0,1.0,stochastic,wrap,10.76,2.0
2.0,0.0,stochastic,saturate,9.94,2.0
2.0,0.0,stochastic,wrap,9.94,2.0
0.0,2.0,floor,saturate,9.8,2.0
1.0,1.0,floor,saturate,9.8,2.0
2.0,0.0,floor,saturate,9.8,2.0
0.0,2.0,floor,wrap,9.8,2.0
1.0,1.0,floor,wrap,9.8,2.0
2.0,0.0,floor,wrap,9.8,2.0
0.0,2.0,ceil,saturate,9.8,2.0
1.0,1.0,ceil,saturate,9.8,2.0
2.0,0.0,ceil,saturate,9.8,2.0
0.0,2.0,ceil,wrap,9.8,2.0
1.0,1.0,ceil,wrap,9.8,2.0
2.0,0.0,ceil,wrap,9.8,2.0
2.0,0.0,trunc,saturate,9.8,2.0
2.0,0.0,trunc,wrap,9.8,2.0
0.0,3.0,nearest,saturate,98.44,3.0
0.0,3.0,nearest,wrap,98.33,3.0
1.0,2.0,nearest,saturate,97.78,3.0
1.0,2.0,nearest,wrap,97.78,3.0
0.0,3.0,trunc,wrap,96.62,3.0
0.0,3.0,trunc,saturate,96.57,3.0
2.0,1.0,nearest,saturate,47.77,3.0
2.0,1.0,nearest,wrap,47.77,3.0
0.0,3.0,stochastic,saturate,47.45,3.0
0.0,3.0,stochastic,wrap,47.21,3.0
1.0,2.0,trunc,saturate,35.2,3.0
1.0,2.0,trunc,wrap,35.2,3.0
0.0,3.0,ceil,saturate,12.15,3.0
0.0,3.0,ceil,wrap,12.09,3.0
1.0,2.0,stochastic,saturate,11.93,3.0
1.0,2.0,stochastic,wrap,11.93,3.0
3.0,0.0,nearest,saturate,11.12,3.0
3.0,0.0,nearest,wrap,11.12,3.0
2.0,1.0,stochastic,saturate,11.06,3.0
2.0,1.0,stochastic,wrap,11.06,3.0
2.0,1.0,trunc,saturate,10.83,3.0
2.0,1.0,trunc,wrap,10.83,3.0
3.0,0.0,stochastic,saturate,10.56,3.0
3.0,0.0,stochastic,wrap,10.56,3.0
0.0,3.0,floor,saturate,9.97,3.0
0.0,3.0,floor,wrap,9.97,3.0
1.0,2.0,floor,saturate,9.8,3.0
2.0,1.0,floor,saturate,9.8,3.0
3.0,0.0,floor,saturate,9.8,3.0
1.0,2.0,floor,wrap,9.8,3.0
2.0,1.0,floor,wrap,9.8,3.0
3.0,0.0,floor,wrap,9.8,3.0
1.0,2.0,ceil,saturate,9.8,3.0
2.0,1.0,ceil,saturate,9.8,3.0
3.0,0.0,ceil,saturate,9.8,3.0
1.0,2.0,ceil,wrap,9.8,3.0
2.0,1.0,ceil,wrap,9.8,3.0
3.0,0.0,ceil,wrap,9.8,3.0
3.0,0.0,trunc,saturate,9.8,3.0
3.0,0.0,trunc,wrap,9.8,3.0
0.0,4.0,nearest,saturate,98.53,4.0
1.0,3.0,nearest,saturate,98.47,4.0
1.0,3.0,nearest,wrap,98.47,4.0
0.0,4.0,trunc,saturate,98.38,4.0
0.0,4.0,trunc,wrap,98.38,4.0
0.0,4.0,nearest,wrap,98.31,4.0
2.0,2.0,nearest,saturate,97.79,4.0
2.0,2.0,nearest,wrap,97.79,4.0
1.0,3.0,trunc,saturate,96.7,4.0
1.0,3.0,trunc,wrap,96.7,4.0
0.0,4.0,stochastic,saturate,93.16,4.0
