m,n,rounding,overflow,acc
5,2,nearest,wrap,98.1
5,3,nearest,wrap,98.07
5,8,nearest,wrap,98.07
5,4,nearest,wrap,98.02
5,5,nearest,wrap,98.01
5,6,nearest,wrap,98.01
5,7,nearest,wrap,97.95
4,6,nearest,wrap,97.78
4,7,nearest,wrap,97.75
4,2,nearest,wrap,97.73
4,4,nearest,wrap,97.7
4,5,nearest,wrap,97.7
4,3,nearest,wrap,97.69
4,8,nearest,wrap,97.64
3,2,nearest,wrap,36.16
3,3,nearest,wrap,35.08
3,4,nearest,wrap,34.48
3,7,nearest,wrap,34.36
3,5,nearest,wrap,34.17
3,8,nearest,wrap,34.11
3,6,nearest,wrap,33.88
4,1,nearest,wrap,16.71
5,1,nearest,wrap,16.39
3,1,nearest,wrap,13.33
1,7,nearest,wrap,10.69
1,4,nearest,wrap,10.45
1,8,nearest,wrap,10.44
1,3,nearest,wrap,10.4
0,3,nearest,wrap,10.34
0,8,nearest,wrap,10.22
0,4,nearest,wrap,10.19
0,6,nearest,wrap,10.17
1,5,nearest,wrap,10.13
1,2,nearest,wrap,10.08
0,2,nearest,wrap,9.91
1,6,nearest,wrap,9.88
1,1,nearest,wrap,9.84
0,0,nearest,wrap,9.8
4,0,nearest,wrap,9.8
5,0,nearest,wrap,9.8
0,1,nearest,wrap,9.8
2,7,nearest,wrap,9.72
0,5,nearest,wrap,9.57
2,6,nearest,wrap,9.5
3,0,nearest,wrap,9.5
0,7,nearest,wrap,9.38
1,0,nearest,wrap,9.2
2,8,nearest,wrap,8.97
2,3,nearest,wrap,8.78
2,5,nearest,wrap,8.72
2,4,nearest,wrap,8.54
2,2,nearest,wrap,8.23
2,1,nearest,wrap,7.15
2,0,nearest,wrap,6.58
