m,n,rounding,overflow,acc
0,0,floor,saturate,9.8
0,1,floor,saturate,9.8
0,2,floor,saturate,9.8
0,3,floor,saturate,9.68
0,4,floor,saturate,22.86
0,5,floor,saturate,81.48
0,6,floor,saturate,96.51
0,7,floor,saturate,97.94
0,8,floor,saturate,98.11
1,0,floor,saturate,9.8
1,1,floor,saturate,9.8
1,2,floor,saturate,9.8
1,3,floor,saturate,9.59
1,4,floor,saturate,22.96
1,5,floor,saturate,81.53
1,6,floor,saturate,96.59
1,7,floor,saturate,97.89
1,8,floor,saturate,98.26
2,0,floor,saturate,9.8
2,1,floor,saturate,9.8
2,2,floor,saturate,9.8
2,3,floor,saturate,9.62
2,4,floor,saturate,22.89
2,5,floor,saturate,81.47
2,6,floor,saturate,96.5
2,7,floor,saturate,97.81
2,8,floor,saturate,98.19
3,0,floor,saturate,9.8
3,1,floor,saturate,9.8
3,2,floor,saturate,9.8
3,3,floor,saturate,9.61
3,4,floor,saturate,23.33
3,5,floor,saturate,81.44
3,6,floor,saturate,96.44
3,7,floor,saturate,97.91
3,8,floor,saturate,98.22
4,0,floor,saturate,9.8
4,1,floor,saturate,9.8
4,2,floor,saturate,9.8
4,3,floor,saturate,9.57
4,4,floor,saturate,22.94
4,5,floor,saturate,81.24
4,6,floor,saturate,96.48
4,7,floor,saturate,97.95
4,8,floor,saturate,98.18
5,0,floor,saturate,9.8
5,1,floor,saturate,9.8
5,2,floor,saturate,9.8
5,3,floor,saturate,9.66
5,4,floor,saturate,22.89
5,5,floor,saturate,81.5
5,6,floor,saturate,96.58
5,7,floor,saturate,97.84
5,8,floor,saturate,98.08
