m,n,rounding,overflow,acc
0,0,stochastic,wrap,9.8
0,1,stochastic,wrap,9.8
0,2,stochastic,wrap,9.36
0,3,stochastic,wrap,9.77
0,4,stochastic,wrap,9.6
0,5,stochastic,wrap,10.06
0,6,stochastic,wrap,10.18
0,7,stochastic,wrap,9.68
0,8,stochastic,wrap,9.9
1,0,stochastic,wrap,9.67
1,1,stochastic,wrap,10.05
1,2,stochastic,wrap,9.24
1,3,stochastic,wrap,10.06
1,4,stochastic,wrap,9.12
1,5,stochastic,wrap,9.21
1,6,stochastic,wrap,9.19
1,7,stochastic,wrap,9.54
1,8,stochastic,wrap,9.16
2,0,stochastic,wrap,13.26
2,1,stochastic,wrap,20.96
2,2,stochastic,wrap,17.79
2,3,stochastic,wrap,16.33
2,4,stochastic,wrap,15.92
2,5,stochastic,wrap,15.67
2,6,stochastic,wrap,15.24
2,7,stochastic,wrap,15.38
2,8,stochastic,wrap,15.35
3,0,stochastic,wrap,92.7
3,1,stochastic,wrap,92.94
3,2,stochastic,wrap,93.05
3,3,stochastic,wrap,92.91
3,4,stochastic,wrap,92.91
3,5,stochastic,wrap,92.81
3,6,stochastic,wrap,92.71
3,7,stochastic,wrap,92.76
3,8,stochastic,wrap,92.64
4,0,stochastic,wrap,98.07
4,1,stochastic,wrap,97.99
4,2,stochastic,wrap,98.07
4,3,stochastic,wrap,98.07
4,4,stochastic,wrap,98.15
4,5,stochastic,wrap,98.21
4,6,stochastic,wrap,98.11
4,7,stochastic,wrap,98.13
4,8,stochastic,wrap,98.07
5,0,stochastic,wrap,98.13
5,1,stochastic,wrap,97.98
5,2,stochastic,wrap,98.16
5,3,stochastic,wrap,98.23
5,4,stochastic,wrap,98.29
5,5,stochastic,wrap,98.23
5,6,stochastic,wrap,98.22
5,7,stochastic,wrap,98.15
5,8,stochastic,wrap,98.24
