m,n,rounding,overflow,acc
5,8,trunc,wrap,98.23
5,7,trunc,wrap,98.17
4,7,trunc,wrap,98.15
4,8,trunc,wrap,98.14
4,6,trunc,wrap,97.83
5,6,trunc,wrap,97.83
4,5,trunc,wrap,94.65
5,5,trunc,wrap,94.61
3,6,trunc,wrap,92.4
3,5,trunc,wrap,90.88
3,7,trunc,wrap,90.81
3,8,trunc,wrap,89.62
3,4,trunc,wrap,64.56
4,4,trunc,wrap,62.54
5,4,trunc,wrap,62.43
2,5,trunc,wrap,26.05
2,4,trunc,wrap,23.8
2,6,trunc,wrap,18.67
3,3,trunc,wrap,16.64
4,3,trunc,wrap,16.54
5,3,trunc,wrap,16.26
2,3,trunc,wrap,15.44
1,4,trunc,wrap,15.21
1,5,trunc,wrap,13.63
2,7,trunc,wrap,13.54
2,2,trunc,wrap,11.82
3,2,trunc,wrap,11.81
4,2,trunc,wrap,11.78
5,2,trunc,wrap,11.73
2,8,trunc,wrap,11.67
1,6,trunc,wrap,11.2
1,2,trunc,wrap,11.06
1,7,trunc,wrap,10.7
1,3,trunc,wrap,10.45
0,7,trunc,wrap,10.24
1,8,trunc,wrap,10.11
0,8,trunc,wrap,9.92
0,0,trunc,wrap,9.8
1,0,trunc,wrap,9.8
0,1,trunc,wrap,9.8
3,0,trunc,wrap,9.8
3,1,trunc,wrap,9.8
4,1,trunc,wrap,9.8
2,0,trunc,wrap,9.8
1,1,trunc,wrap,9.8
2,1,trunc,wrap,9.8
5,0,trunc,wrap,9.8
4,0,trunc,wrap,9.8
5,1,trunc,wrap,9.8
0,4,trunc,wrap,9.56
0,6,trunc,wrap,9.5
0,5,trunc,wrap,9.27
0,3,trunc,wrap,8.83
0,2,trunc,wrap,7.77
