m,n,rounding,overflow,acc
0,0,nearest,saturate,9.8
0,1,nearest,saturate,9.8
0,2,nearest,saturate,97.5
0,3,nearest,saturate,97.67
0,4,nearest,saturate,97.63
0,5,nearest,saturate,97.8
0,6,nearest,saturate,97.83
0,7,nearest,saturate,97.79
0,8,nearest,saturate,97.73
1,0,nearest,saturate,97.62
1,1,nearest,saturate,97.44
1,2,nearest,saturate,97.65
1,3,nearest,saturate,97.64
1,4,nearest,saturate,97.7
1,5,nearest,saturate,97.75
1,6,nearest,saturate,97.75
1,7,nearest,saturate,97.71
1,8,nearest,saturate,97.76
2,0,nearest,saturate,97.77
2,1,nearest,saturate,97.44
2,2,nearest,saturate,97.62
2,3,nearest,saturate,97.6
2,4,nearest,saturate,97.76
2,5,nearest,saturate,97.8
2,6,nearest,saturate,97.61
2,7,nearest,saturate,97.67
2,8,nearest,saturate,97.7
3,0,nearest,saturate,97.67
3,1,nearest,saturate,97.42
3,2,nearest,saturate,97.71
3,3,nearest,saturate,97.58
3,4,nearest,saturate,97.65
3,5,nearest,saturate,97.83
3,6,nearest,saturate,97.75
3,7,nearest,saturate,97.73
3,8,nearest,saturate,97.81
4,0,nearest,saturate,97.73
4,1,nearest,saturate,97.44
4,2,nearest,saturate,97.74
4,3,nearest,saturate,97.63
4,4,nearest,saturate,97.7
4,5,nearest,saturate,97.8
4,6,nearest,saturate,97.72
4,7,nearest,saturate,97.76
4,8,nearest,saturate,97.74
5,0,nearest,saturate,97.62
5,1,nearest,saturate,97.4
5,2,nearest,saturate,97.8
5,3,nearest,saturate,97.7
5,4,nearest,saturate,97.7
5,5,nearest,saturate,97.7
5,6,nearest,saturate,97.68
5,7,nearest,saturate,97.75
5,8,nearest,saturate,97.73
