m,n,rounding,overflow,acc
0,0,stochastic,wrap,9.8
0,1,stochastic,wrap,9.8
0,2,stochastic,wrap,10.13
0,3,stochastic,wrap,9.85
0,4,stochastic,wrap,9.93
0,5,stochastic,wrap,10.35
0,6,stochastic,wrap,10.36
0,7,stochastic,wrap,9.72
0,8,stochastic,wrap,10.44
1,0,stochastic,wrap,10.74
1,1,stochastic,wrap,10.17
1,2,stochastic,wrap,10.25
1,3,stochastic,wrap,9.78
1,4,stochastic,wrap,10.26
1,5,stochastic,wrap,9.99
1,6,stochastic,wrap,10.0
1,7,stochastic,wrap,10.53
1,8,stochastic,wrap,9.98
2,0,stochastic,wrap,9.0
2,1,stochastic,wrap,8.64
2,2,stochastic,wrap,8.84
2,3,stochastic,wrap,8.06
2,4,stochastic,wrap,8.67
2,5,stochastic,wrap,8.83
2,6,stochastic,wrap,8.35
2,7,stochastic,wrap,9.03
2,8,stochastic,wrap,8.61
3,0,stochastic,wrap,31.82
3,1,stochastic,wrap,34.92
3,2,stochastic,wrap,34.12
3,3,stochastic,wrap,33.06
3,4,stochastic,wrap,33.2
3,5,stochastic,wrap,33.1
3,6,stochastic,wrap,32.93
3,7,stochastic,wrap,33.36
3,8,stochastic,wrap,32.93
4,0,stochastic,wrap,97.82
4,1,stochastic,wrap,97.69
4,2,stochastic,wrap,97.75
4,3,stochastic,wrap,97.79
4,4,stochastic,wrap,97.83
4,5,stochastic,wrap,97.86
4,6,stochastic,wrap,97.79
4,7,stochastic,wrap,97.89
4,8,stochastic,wrap,97.85
5,0,stochastic,wrap,98.13
5,1,stochastic,wrap,98.08
5,2,stochastic,wrap,98.18
5,3,stochastic,wrap,98.12
5,4,stochastic,wrap,98.15
5,5,stochastic,wrap,98.1
5,6,stochastic,wrap,98.14
5,7,stochastic,wrap,98.23
5,8,stochastic,wrap,98.09
