m,n,rounding,overflow,acc
5,6,stochastic,saturate,98.37
2,4,stochastic,saturate,98.36
5,8,stochastic,saturate,98.35
4,4,stochastic,saturate,98.35
3,3,stochastic,saturate,98.34
5,7,stochastic,saturate,98.34
4,6,stochastic,saturate,98.33
3,8,stochastic,saturate,98.32
4,5,stochastic,saturate,98.32
5,5,stochastic,saturate,98.32
2,7,stochastic,saturate,98.32
5,3,stochastic,saturate,98.32
4,7,stochastic,saturate,98.3
2,6,stochastic,saturate,98.3
4,8,stochastic,saturate,98.28
4,3,stochastic,saturate,98.27
3,4,stochastic,saturate,98.25
3,5,stochastic,saturate,98.25
5,4,stochastic,saturate,98.25
3,7,stochastic,saturate,98.23
2,3,stochastic,saturate,98.21
2,8,stochastic,saturate,98.2
2,5,stochastic,saturate,98.2
3,6,stochastic,saturate,98.18
1,5,stochastic,saturate,91.47
1,7,stochastic,saturate,91.39
1,6,stochastic,saturate,91.3
1,4,stochastic,saturate,91.27
1,8,stochastic,saturate,91.22
1,3,stochastic,saturate,90.76
2,2,stochastic,saturate,63.22
4,2,stochastic,saturate,62.3
3,2,stochastic,saturate,62.09
5,2,stochastic,saturate,62.02
1,2,stochastic,saturate,58.88
0,5,stochastic,saturate,43.36
0,8,stochastic,saturate,43.05
0,7,stochastic,saturate,43.03
0,4,stochastic,saturate,42.95
0,6,stochastic,saturate,42.76
0,3,stochastic,saturate,38.36
0,2,stochastic,saturate,33.86
3,1,stochastic,saturate,26.67
4,1,stochastic,saturate,26.6
5,1,stochastic,saturate,26.43
2,1,stochastic,saturate,25.08
1,1,stochastic,saturate,18.19
3,0,stochastic,saturate,16.33
5,0,stochastic,saturate,15.88
4,0,stochastic,saturate,15.72
2,0,stochastic,saturate,14.98
1,0,stochastic,saturate,11.56
0,1,stochastic,saturate,9.8
0,0,stochastic,saturate,9.8
