m,n,rounding,overflow,acc
5,8,trunc,saturate,98.39
5,4,trunc,saturate,98.39
3,4,trunc,saturate,98.37
3,7,trunc,saturate,98.37
3,5,trunc,saturate,98.36
4,5,trunc,saturate,98.35
5,3,trunc,saturate,98.34
4,7,trunc,saturate,98.33
4,6,trunc,saturate,98.33
4,3,trunc,saturate,98.33
5,6,trunc,saturate,98.32
3,6,trunc,saturate,98.31
4,4,trunc,saturate,98.31
4,8,trunc,saturate,98.31
5,5,trunc,saturate,98.3
5,7,trunc,saturate,98.3
3,3,trunc,saturate,98.29
3,8,trunc,saturate,98.25
2,7,trunc,saturate,98.23
2,3,trunc,saturate,98.2
2,4,trunc,saturate,98.19
2,5,trunc,saturate,98.18
2,6,trunc,saturate,98.18
2,8,trunc,saturate,98.17
1,7,trunc,saturate,91.31
1,5,trunc,saturate,91.27
1,4,trunc,saturate,91.24
1,6,trunc,saturate,91.19
1,8,trunc,saturate,91.17
1,3,trunc,saturate,90.69
0,7,trunc,saturate,43.42
0,5,trunc,saturate,43.21
0,6,trunc,saturate,43.1
0,8,trunc,saturate,43.1
0,4,trunc,saturate,43.02
0,3,trunc,saturate,38.81
5,2,trunc,saturate,11.03
2,2,trunc,saturate,10.99
3,2,trunc,saturate,10.98
1,2,trunc,saturate,10.92
4,2,trunc,saturate,10.91
0,2,trunc,saturate,10.67
0,1,trunc,saturate,9.8
0,0,trunc,saturate,9.8
1,0,trunc,saturate,9.8
1,1,trunc,saturate,9.8
2,0,trunc,saturate,9.8
2,1,trunc,saturate,9.8
3,0,trunc,saturate,9.8
3,1,trunc,saturate,9.8
4,1,trunc,saturate,9.8
4,0,trunc,saturate,9.8
5,0,trunc,saturate,9.8
5,1,trunc,saturate,9.8
