m,n,rounding,overflow,acc,bits
0,0,floor,saturate,9.8,0
0,0,floor,wrap,9.8,0
0,0,ceil,saturate,9.8,0
0,0,ceil,wrap,9.8,0
0,0,trunc,saturate,9.8,0
0,0,trunc,wrap,9.8,0
0,0,nearest,saturate,9.8,0
0,0,nearest,wrap,9.8,0
0,0,stochastic,saturate,9.8,0
0,0,stochastic,wrap,9.8,0
1,0,stochastic,saturate,98.69,1
1,0,nearest,saturate,98.61,1
1,0,ceil,saturate,98.21,1
1,0,trunc,saturate,97.86,1
1,0,floor,saturate,97.82,1
1,0,ceil,wrap,10.41,1
1,0,floor,wrap,10.31,1
1,0,stochastic,wrap,10.27,1
1,0,nearest,wrap,9.88,1
0,1,floor,saturate,9.8,1
0,1,floor,wrap,9.8,1
0,1,ceil,saturate,9.8,1
0,1,ceil,wrap,9.8,1
0,1,trunc,saturate,9.8,1
0,1,trunc,wrap,9.8,1
0,1,nearest,saturate,9.8,1
0,1,nearest,wrap,9.8,1
0,1,stochastic,saturate,9.8,1
0,1,stochastic,wrap,9.8,1
1,0,trunc,wrap,8.9,1
2,0,nearest,saturate,98.65,2
0,2,stochastic,saturate,98.61,2
1,1,ceil,saturate,98.6,2
0,2,ceil,saturate,98.59,2
2,0,stochastic,saturate,98.55,2
0,2,nearest,saturate,98.51,2
1,1,nearest,saturate,98.49,2
1,1,stochastic,saturate,98.47,2
0,2,floor,saturate,98.4,2
0,2,trunc,saturate,98.36,2
2,0,ceil,saturate,98.22,2
1,1,floor,saturate,98.05,2
1,1,trunc,saturate,98.04,2
2,0,floor,saturate,97.83,2
2,0,trunc,saturate,97.75,2
2,0,trunc,wrap,37.27,2
0,2,ceil,wrap,10.63,2
1,1,floor,wrap,10.48,2
0,2,trunc,wrap,10.4,2
1,1,stochastic,wrap,10.34,2
1,1,nearest,wrap,10.32,2
0,2,floor,wrap,10.1,2
1,1,ceil,wrap,9.98,2
0,2,nearest,wrap,9.79,2
0,2,stochastic,wrap,9.79,2
1,1,trunc,wrap,9.34,2
2,0,floor,wrap,5.47,2
2,0,nearest,wrap,4.09,2
2,0,stochastic,wrap,4.02,2
2,0,ceil,wrap,3.46,2
3,0,stochastic,saturate,98.68,3
0,3,floor,saturate,98.6,3
0,3,ceil,saturate,98.6,3
0,3,trunc,saturate,98.6,3
2,1,ceil,saturate,98.58,3
0,3,nearest,saturate,98.58,3
1,2,stochastic,saturate,98.58,3
1,2,ceil,saturate,98.57,3
2,1,stochastic,saturate,98.56,3
3,0,nearest,saturate,98.55,3
1,2,nearest,saturate,98.51,3
0,3,stochastic,saturate,98.5,3
2,1,nearest,saturate,98.49,3
1,2,trunc,saturate,98.47,3
1,2,floor,saturate,98.46,3
2,1,trunc,saturate,98.09,3
3,0,ceil,saturate,98.08,3
2,1,floor,saturate,97.99,3
3,0,trunc,saturate,97.75,3
3,0,floor,saturate,97.69,3
3,0,trunc,wrap,96.56,3
3,0,nearest,wrap,95.73,3
3,0,floor,wrap,94.34,3
3,0,stochastic,wrap,93.85,3
3,0,ceil,wrap,93.2,3
2,1,trunc,wrap,13.99,3
0,3,stochastic,wrap,10.4,3
0,3,floor,wrap,10.29,3
1,2,trunc,wrap,10.27,3
1,2,ceil,wrap,10.22,3
0,3,nearest,wrap,10.05,3
1,2,floor,wrap,10.0,3
1,2,nearest,wrap,10.0,3
0,3,trunc,wrap,9.88,3
1,2,stochastic,wrap,9.76,3
0,3,ceil,wrap,9.62,3
2,1,floor,wrap,5.59,3
2,1,nearest,wrap,4.69,3
2,1,stochastic,wrap,4.2,3
2,1,ceil,wrap,4.02,3
1,3,nearest,saturate,98.59,4
2,2,nearest,saturate,98.58,4
1,3,ceil,saturate,98.56,4
2,2,stochastic,saturate,98.55,4
1,3,floor,saturate,98.54,4
3,1,ceil,saturate,98.54,4
0,4,trunc,saturate,98.54,4
1,3,trunc,saturate,98.54,4
4,0,nearest,saturate,98.54,4
4,0,nearest,wrap,98.54,4
1,3,stochastic,saturate,98.54,4
0,4,floor,saturate,98.53,4
4,0,stochastic,saturate,98.53,4
4,0,stochastic,wrap,98.53,4
2,2,ceil,saturate,98.52,4
3,1,stochastic,saturate,98.52,4
0,4,stochastic,saturate,98.51,4
0,4,ceil,saturate,98.49,4
3,1,nearest,saturate,98.49,4
2,2,trunc,saturate,98.48,4
2,2,floor,saturate,98.46,4
0,4,nearest,saturate,98.46,4
4,0,ceil,saturate,98.22,4
4,0,ceil,wrap,98.21,4
3,1,trunc,saturate,98.07,4
3,1,floor,saturate,98.04,4
4,0,trunc,wrap,97.85,4
4,0,floor,wrap,97.81,4
4,0,trunc,saturate,97.79,4
4,0,floor,saturate,97.77,4
3,1,trunc,wrap,95.99,4
3,1,ceil,wrap,95.71,4
3,1,nearest,wrap,95.62,4
3,1,stochastic,wrap,95.0,4
3,1,floor,wrap,94.79,4
0,4,floor,wrap,10.25,4
0,4,ceil,wrap,10.04,4
0,4,nearest,wrap,10.04,4
0,4,trunc,wrap,9.99,4
1,3,nearest,wrap,9.99,4
1,3,stochastic,wrap,9.97,4
0,4,stochastic,wrap,9.93,4
1,3,trunc,wrap,9.75,4
1,3,floor,wrap,9.55,4
1,3,ceil,wrap,9.52,4
2,2,stochastic,wrap,4.42,4
2,2,trunc,wrap,4.39,4
2,2,floor,wrap,4.21,4
2,2,nearest,wrap,3.67,4
2,2,ceil,wrap,2.92,4
4,1,ceil,saturate,98.67,5
4,1,ceil,wrap,98.67,5
5,0,nearest,saturate,98.63,5
5,0,nearest,wrap,98.63,5
2,3,trunc,saturate,98.61,5
0,5,stochastic,saturate,98.61,5
1,4,stochastic,saturate,98.61,5
3,2,stochastic,saturate,98.61,5
5,0,stochastic,saturate,98.61,5
5,0,stochastic,wrap,98.61,5
2,3,ceil,saturate,98.6,5
2,3,stochastic,saturate,98.6,5
2,3,floor,saturate,98.59,5
3,2,ceil,saturate,98.58,5
2,3,nearest,saturate,98.58,5
1,4,ceil,saturate,98.56,5
0,5,nearest,saturate,98.56,5
1,4,floor,saturate,98.55,5
0,5,ceil,saturate,98.54,5
1,4,trunc,saturate,98.54,5
1,4,nearest,saturate,98.53,5
3,2,nearest,saturate,98.53,5
0,5,floor,saturate,98.5,5
0,5,trunc,saturate,98.5,5
4,1,stochastic,saturate,98.49,5
4,1,stochastic,wrap,98.49,5
3,2,trunc,saturate,98.48,5
4,1,nearest,wrap,98.48,5
4,1,nearest,saturate,98.47,5
3,2,floor,saturate,98.46,5
5,0,ceil,saturate,98.15,5
5,0,ceil,wrap,98.15,5
4,1,trunc,wrap,98.0,5
4,1,floor,wrap,97.96,5
4,1,floor,saturate,97.95,5
4,1,trunc,saturate,97.95,5
5,0,trunc,saturate,97.86,5
5,0,trunc,wrap,97.86,5
5,0,floor,saturate,97.74,5
5,0,floor,wrap,97.74,5
3,2,trunc,wrap,95.62,5
3,2,nearest,wrap,94.91,5
3,2,floor,wrap,94.9,5
3,2,ceil,wrap,94.64,5
3,2,stochastic,wrap,94.4,5
0,5,trunc,wrap,10.07,5
0,5,stochastic,wrap,9.95,5
0,5,ceil,wrap,9.88,5
0,5,nearest,wrap,9.88,5
0,5,floor,wrap,9.87,5
1,4,ceil,wrap,9.84,5
1,4,stochastic,wrap,9.82,5
1,4,floor,wrap,9.78,5
1,4,trunc,wrap,9.77,5
1,4,nearest,wrap,9.66,5
2,3,stochastic,wrap,3.91,5
2,3,floor,wrap,3.87,5
2,3,nearest,wrap,3.4,5
2,3,trunc,wrap,3.2,5
2,3,ceil,wrap,3.1,5
0,6,floor,saturate,98.64,6
1,5,trunc,saturate,98.64,6
1,5,floor,saturate,98.63,6
0,6,trunc,saturate,98.63,6
1,5,stochastic,saturate,98.63,6
5,1,ceil,saturate,98.62,6
5,1,ceil,wrap,98.62,6
3,3,stochastic,saturate,98.62,6
0,6,nearest,saturate,98.61,6
0,6,stochastic,saturate,98.61,6
4,2,stochastic,saturate,98.61,6
0,6,ceil,saturate,98.59,6
3,3,ceil,saturate,98.59,6
1,5,nearest,saturate,98.59,6
3,3,nearest,saturate,98.59,6
2,4,stochastic,saturate,98.59,6
4,2,nearest,saturate,98.58,6
4,2,nearest,wrap,98.58,6
4,2,stochastic,wrap,98.58,6
1,5,ceil,saturate,98.57,6
5,1,nearest,saturate,98.57,6
5,1,nearest,wrap,98.57,6
4,2,ceil,saturate,98.56,6
5,1,stochastic,saturate,98.56,6
5,1,stochastic,wrap,98.56,6
4,2,ceil,wrap,98.54,6
4,2,floor,saturate,98.52,6
4,2,floor,wrap,98.52,6
2,4,ceil,saturate,98.52,6
3,3,floor,saturate,98.51,6
2,4,floor,saturate,98.48,6
3,3,trunc,saturate,98.48,6
2,4,nearest,saturate,98.48,6
2,4,trunc,saturate,98.47,6
4,2,trunc,saturate,98.47,6
4,2,trunc,wrap,98.46,6
5,1,floor,saturate,97.97,6
5,1,floor,wrap,97.97,6
5,1,trunc,saturate,97.94,6
5,1,trunc,wrap,97.94,6
3,3,trunc,wrap,94.86,6
3,3,floor,wrap,94.26,6
3,3,nearest,wrap,94.25,6
3,3,ceil,wrap,94.12,6
3,3,stochastic,wrap,93.97,6
0,6,ceil,wrap,10.56,6
0,6,floor,wrap,10.28,6
1,5,stochastic,wrap,10.13,6
0,6,trunc,wrap,10.11,6
0,6,nearest,wrap,10.04,6
1,5,trunc,wrap,9.78,6
1,5,ceil,wrap,9.74,6
0,6,stochastic,wrap,9.46,6
1,5,floor,wrap,9.43,6
1,5,nearest,wrap,9.42,6
2,4,stochastic,wrap,4.06,6
2,4,floor,wrap,3.97,6
2,4,nearest,wrap,3.73,6
2,4,ceil,wrap,3.7,6
2,4,trunc,wrap,3.59,6
2,5,stochastic,saturate,98.71,7
5,2,ceil,saturate,98.65,7
5,2,ceil,wrap,98.65,7
4,3,ceil,saturate,98.64,7
4,3,stochastic,wrap,98.63,7
1,6,ceil,saturate,98.62,7
4,3,ceil,wrap,98.62,7
1,6,nearest,saturate,98.62,7
4,3,stochastic,saturate,98.62,7
1,6,floor,saturate,98.61,7
1,6,stochastic,saturate,98.61,7
3,4,trunc,saturate,98.6,7
3,4,floor,saturate,98.59,7
2,5,ceil,saturate,98.59,7
1,6,trunc,saturate,98.59,7
2,5,trunc,saturate,98.59,7
4,3,trunc,saturate,98.59,7
5,2,nearest,saturate,98.59,7
5,2,nearest,wrap,98.59,7
4,3,floor,saturate,98.58,7
4,3,trunc,wrap,98.58,7
2,5,nearest,saturate,98.58,7
0,7,stochastic,saturate,98.58,7
4,3,nearest,saturate,98.57,7
3,4,stochastic,saturate,98.57,7
2,5,floor,saturate,98.56,7
4,3,floor,wrap,98.56,7
0,7,ceil,saturate,98.56,7
0,7,nearest,saturate,98.55,7
4,3,nearest,wrap,98.55,7
5,2,stochastic,saturate,98.55,7
5,2,stochastic,wrap,98.55,7
3,4,nearest,saturate,98.54,7
3,4,ceil,saturate,98.53,7
0,7,trunc,saturate,98.53,7
0,7,floor,saturate,98.52,7
5,2,floor,saturate,98.52,7
5,2,floor,wrap,98.52,7
5,2,trunc,saturate,98.5,7
5,2,trunc,wrap,98.5,7
3,4,trunc,wrap,94.38,7
3,4,floor,wrap,93.98,7
3,4,ceil,wrap,93.85,7
3,4,nearest,wrap,93.84,7
3,4,stochastic,wrap,93.69,7
0,7,ceil,wrap,10.13,7
0,7,floor,wrap,10.06,7
0,7,stochastic,wrap,9.87,7
0,7,nearest,wrap,9.86,7
1,6,ceil,wrap,9.8,7
1,6,trunc,wrap,9.76,7
1,6,stochastic,wrap,9.75,7
0,7,trunc,wrap,9.72,7
1,6,floor,wrap,9.55,7
1,6,nearest,wrap,9.49,7
2,5,trunc,wrap,3.9,7
2,5,stochastic,wrap,3.88,7
2,5,ceil,wrap,3.84,7
2,5,nearest,wrap,3.71,7
2,5,floor,wrap,3.7,7
4,4,floor,saturate,98.66,8
4,4,trunc,saturate,98.65,8
1,7,ceil,saturate,98.63,8
5,3,ceil,saturate,98.63,8
5,3,ceil,wrap,98.63,8
4,4,trunc,wrap,98.63,8
1,7,nearest,saturate,98.63,8
0,8,stochastic,saturate,98.63,8
4,4,stochastic,saturate,98.63,8
3,5,nearest,saturate,98.62,8
4,4,nearest,saturate,98.62,8
4,4,floor,wrap,98.61,8
2,6,trunc,saturate,98.61,8
2,6,floor,saturate,98.6,8
0,8,nearest,saturate,98.6,8
0,8,ceil,saturate,98.59,8
0,8,trunc,saturate,98.59,8
5,3,nearest,saturate,98.59,8
5,3,nearest,wrap,98.59,8
4,4,stochastic,wrap,98.59,8
0,8,floor,saturate,98.58,8
1,7,floor,saturate,98.58,8
2,6,ceil,saturate,98.58,8
3,5,ceil,saturate,98.58,8
4,4,ceil,saturate,98.58,8
2,6,nearest,saturate,98.58,8
1,7,stochastic,saturate,98.58,8
3,5,floor,saturate,98.57,8
1,7,trunc,saturate,98.57,8
3,5,trunc,saturate,98.57,8
4,4,nearest,wrap,98.57,8
3,5,stochastic,saturate,98.57,8
5,3,stochastic,saturate,98.57,8
5,3,stochastic,wrap,98.57,8
5,3,floor,saturate,98.56,8
5,3,floor,wrap,98.56,8
4,4,ceil,wrap,98.55,8
5,3,trunc,saturate,98.55,8
5,3,trunc,wrap,98.55,8
2,6,stochastic,saturate,98.47,8
3,5,trunc,wrap,93.9,8
3,5,stochastic,wrap,93.89,8
3,5,floor,wrap,93.76,8
3,5,ceil,wrap,93.69,8
3,5,nearest,wrap,93.66,8
0,8,floor,wrap,10.35,8
1,7,nearest,wrap,10.18,8
0,8,ceil,wrap,10.09,8
0,8,stochastic,wrap,10.09,8
1,7,stochastic,wrap,9.91,8
0,8,trunc,wrap,9.89,8
0,8,nearest,wrap,9.83,8
1,7,ceil,wrap,9.66,8
1,7,trunc,wrap,9.6,8
1,7,floor,wrap,9.56,8
2,6,stochastic,wrap,3.82,8
2,6,ceil,wrap,3.59,8
2,6,nearest,wrap,3.58,8
2,6,floor,wrap,3.5,8
2,6,trunc,wrap,3.38,8
2,7,ceil,saturate,98.69,9
2,7,nearest,saturate,98.69,9
2,7,floor,saturate,98.68,9
2,7,trunc,saturate,98.68,9
5,4,stochastic,saturate,98.63,9
5,4,stochastic,wrap,98.63,9
1,8,ceil,saturate,98.62,9
4,5,trunc,saturate,98.61,9
1,8,nearest,saturate,98.61,9
5,4,nearest,saturate,98.61,9
5,4,nearest,wrap,98.61,9
5,4,ceil,saturate,98.6,9
5,4,ceil,wrap,98.6,9
4,5,trunc,wrap,98.6,9
4,5,ceil,saturate,98.59,9
4,5,ceil,wrap,98.59,9
1,8,floor,saturate,98.58,9
3,6,floor,saturate,98.58,9
4,5,floor,saturate,98.58,9
1,8,trunc,saturate,98.58,9
2,7,stochastic,saturate,98.58,9
4,5,floor,wrap,98.57,9
3,6,ceil,saturate,98.57,9
4,5,nearest,wrap,98.57,9
3,6,trunc,saturate,98.56,9
3,6,nearest,saturate,98.56,9
4,5,nearest,saturate,98.56,9
5,4,floor,saturate,98.55,9
5,4,floor,wrap,98.55,9
1,8,stochastic,saturate,98.55,9
4,5,stochastic,wrap,98.55,9
5,4,trunc,saturate,98.54,9
5,4,trunc,wrap,98.54,9
4,5,stochastic,saturate,98.54,9
3,6,stochastic,saturate,98.51,9
3,6,ceil,wrap,93.78,9
3,6,trunc,wrap,93.72,9
3,6,floor,wrap,93.68,9
3,6,nearest,wrap,93.65,9
3,6,stochastic,wrap,93.61,9
1,8,trunc,wrap,9.82,9
1,8,ceil,wrap,9.76,9
1,8,stochastic,wrap,9.76,9
1,8,nearest,wrap,9.71,9
1,8,floor,wrap,9.33,9
2,7,stochastic,wrap,3.94,9
2,7,nearest,wrap,3.79,9
2,7,trunc,wrap,3.7,9
2,7,ceil,wrap,3.55,9
2,7,floor,wrap,3.52,9
5,5,stochastic,saturate,98.65,10
5,5,stochastic,wrap,98.65,10
2,8,ceil,saturate,98.64,10
5,5,ceil,saturate,98.64,10
5,5,ceil,wrap,98.64,10
2,8,floor,saturate,98.63,10
3,7,trunc,saturate,98.63,10
2,8,nearest,saturate,98.63,10
3,7,stochastic,saturate,98.63,10
3,7,floor,saturate,98.62,10
2,8,trunc,saturate,98.62,10
4,6,nearest,saturate,98.62,10
4,6,nearest,wrap,98.62,10
5,5,trunc,saturate,98.61,10
4,6,trunc,wrap,98.61,10
5,5,trunc,wrap,98.61,10
5,5,floor,saturate,98.6,10
4,6,floor,wrap,98.6,10
5,5,floor,wrap,98.6,10
4,6,ceil,saturate,98.6,10
4,6,ceil,wrap,98.6,10
4,6,trunc,saturate,98.6,10
3,7,nearest,saturate,98.6,10
2,8,stochastic,saturate,98.6,10
4,6,floor,saturate,98.59,10
3,7,ceil,saturate,98.58,10
4,6,stochastic,saturate,98.58,10
5,5,nearest,saturate,98.57,10
5,5,nearest,wrap,98.57,10
4,6,stochastic,wrap,98.57,10
3,7,floor,wrap,93.88,10
3,7,trunc,wrap,93.88,10
3,7,nearest,wrap,93.88,10
3,7,ceil,wrap,93.73,10
3,7,stochastic,wrap,93.67,10
2,8,stochastic,wrap,4.03,10
2,8,nearest,wrap,4.01,10
2,8,floor,wrap,3.89,10
2,8,ceil,wrap,3.89,10
2,8,trunc,wrap,3.87,10
4,7,floor,saturate,98.75,11
4,7,floor,wrap,98.74,11
4,7,ceil,saturate,98.74,11
4,7,ceil,wrap,98.73,11
4,7,trunc,saturate,98.73,11
4,7,trunc,wrap,98.73,11
5,6,stochastic,saturate,98.73,11
5,6,stochastic,wrap,98.73,11
4,7,nearest,saturate,98.72,11
4,7,nearest,wrap,98.72,11
5,6,ceil,saturate,98.65,11
5,6,ceil,wrap,98.65,11
5,6,trunc,saturate,98.62,11
5,6,trunc,wrap,98.62,11
5,6,floor,saturate,98.6,11
5,6,floor,wrap,98.6,11
5,6,nearest,saturate,98.6,11
5,6,nearest,wrap,98.6,11
3,8,stochastic,saturate,98.6,11
3,8,trunc,saturate,98.57,11
3,8,floor,saturate,98.56,11
3,8,ceil,saturate,98.55,11
3,8,nearest,saturate,98.55,11
4,7,stochastic,saturate,98.53,11
4,7,stochastic,wrap,98.53,11
3,8,stochastic,wrap,93.71,11
3,8,trunc,wrap,93.57,11
3,8,ceil,wrap,93.54,11
3,8,floor,wrap,93.52,11
3,8,nearest,wrap,93.46,11
5,7,floor,saturate,98.66,12
5,7,floor,wrap,98.66,12
5,7,trunc,saturate,98.66,12
5,7,trunc,wrap,98.66,12
5,7,ceil,saturate,98.63,12
5,7,ceil,wrap,98.63,12
5,7,nearest,saturate,98.63,12
5,7,nearest,wrap,98.63,12
5,7,stochastic,saturate,98.61,12
5,7,stochastic,wrap,98.61,12
4,8,floor,saturate,98.56,12
4,8,floor,wrap,98.56,12
4,8,ceil,saturate,98.56,12
4,8,ceil,wrap,98.56,12
4,8,stochastic,saturate,98.56,12
4,8,trunc,saturate,98.55,12
4,8,trunc,wrap,98.55,12
4,8,stochastic,wrap,98.54,12
4,8,nearest,saturate,98.53,12
4,8,nearest,wrap,98.53,12
5,8,stochastic,saturate,98.62,13
5,8,stochastic,wrap,98.62,13
5,8,ceil,saturate,98.57,13
5,8,ceil,wrap,98.57,13
5,8,floor,saturate,98.56,13
5,8,floor,wrap,98.56,13
