m,n,rounding,overflow,acc,bits
0,0,floor,saturate,9.8,0
0,0,floor,wrap,9.8,0
0,0,ceil,saturate,9.8,0
0,0,ceil,wrap,9.8,0
0,0,trunc,saturate,9.8,0
0,0,trunc,wrap,9.8,0
0,0,nearest,saturate,9.8,0
0,0,nearest,wrap,9.8,0
0,0,stochastic,saturate,9.8,0
0,0,stochastic,wrap,9.8,0
1,0,stochastic,saturate,98.58,1
1,0,nearest,saturate,98.56,1
1,0,ceil,saturate,98.17,1
1,0,trunc,saturate,98.16,1
1,0,floor,saturate,98.12,1
1,0,ceil,wrap,10.02,1
0,1,floor,saturate,9.8,1
0,1,floor,wrap,9.8,1
0,1,ceil,saturate,9.8,1
0,1,ceil,wrap,9.8,1
0,1,trunc,saturate,9.8,1
0,1,trunc,wrap,9.8,1
0,1,nearest,saturate,9.8,1
0,1,nearest,wrap,9.8,1
0,1,stochastic,saturate,9.8,1
0,1,stochastic,wrap,9.8,1
1,0,nearest,wrap,9.79,1
1,0,stochastic,wrap,9.75,1
1,0,floor,wrap,9.57,1
1,0,trunc,wrap,9.08,1
2,0,nearest,saturate,98.6,2
0,2,ceil,saturate,98.58,2
0,2,nearest,saturate,98.57,2
0,2,stochastic,saturate,98.56,2
1,1,ceil,saturate,98.55,2
2,0,stochastic,saturate,98.55,2
0,2,floor,saturate,98.51,2
0,2,trunc,saturate,98.49,2
1,1,stochastic,saturate,98.46,2
1,1,nearest,saturate,98.45,2
2,0,ceil,saturate,98.3,2
1,1,trunc,saturate,98.26,2
1,1,floor,saturate,98.23,2
2,0,trunc,saturate,98.2,2
2,0,floor,saturate,98.15,2
2,0,trunc,wrap,12.49,2
0,2,ceil,wrap,10.69,2
0,2,trunc,wrap,10.4,2
1,1,floor,wrap,10.37,2
0,2,nearest,wrap,10.33,2
1,1,stochastic,wrap,10.29,2
0,2,stochastic,wrap,10.28,2
0,2,floor,wrap,9.96,2
2,0,stochastic,wrap,9.88,2
1,1,nearest,wrap,9.8,2
1,1,ceil,wrap,9.76,2
1,1,trunc,wrap,9.7,2
2,0,nearest,wrap,8.94,2
2,0,floor,wrap,8.69,2
2,0,ceil,wrap,8.11,2
0,3,trunc,saturate,98.57,3
1,2,ceil,saturate,98.54,3
0,3,nearest,saturate,98.54,3
1,2,nearest,saturate,98.54,3
2,1,ceil,saturate,98.53,3
0,3,floor,saturate,98.52,3
0,3,ceil,saturate,98.52,3
1,2,trunc,saturate,98.51,3
1,2,stochastic,saturate,98.5,3
3,0,nearest,saturate,98.49,3
0,3,stochastic,saturate,98.49,3
1,2,floor,saturate,98.48,3
2,1,nearest,saturate,98.47,3
3,0,stochastic,saturate,98.46,3
2,1,stochastic,saturate,98.34,3
3,0,trunc,saturate,98.3,3
2,1,trunc,saturate,98.24,3
3,0,floor,saturate,98.22,3
2,1,floor,saturate,98.19,3
3,0,ceil,saturate,98.17,3
3,0,trunc,wrap,76.41,3
3,0,ceil,wrap,71.1,3
3,0,nearest,wrap,69.16,3
3,0,stochastic,wrap,57.77,3
3,0,floor,wrap,56.24,3
1,2,nearest,wrap,10.6,3
1,2,stochastic,wrap,10.4,3
0,3,stochastic,wrap,10.34,3
0,3,ceil,wrap,10.09,3
1,2,ceil,wrap,10.09,3
1,2,floor,wrap,10.06,3
2,1,trunc,wrap,10.01,3
0,3,trunc,wrap,9.99,3
2,1,stochastic,wrap,9.98,3
0,3,floor,wrap,9.89,3
1,2,trunc,wrap,9.71,3
0,3,nearest,wrap,9.63,3
2,1,floor,wrap,9.38,3
2,1,nearest,wrap,9.27,3
2,1,ceil,wrap,8.71,3
0,4,floor,saturate,98.6,4
0,4,nearest,saturate,98.6,4
0,4,trunc,saturate,98.58,4
4,0,nearest,saturate,98.58,4
0,4,ceil,saturate,98.55,4
1,3,trunc,saturate,98.55,4
3,1,stochastic,saturate,98.54,4
1,3,floor,saturate,98.53,4
4,0,nearest,wrap,98.53,4
0,4,stochastic,saturate,98.53,4
3,1,ceil,saturate,98.52,4
1,3,nearest,saturate,98.52,4
1,3,ceil,saturate,98.51,4
2,2,nearest,saturate,98.5,4
2,2,stochastic,saturate,98.5,4
1,3,stochastic,saturate,98.49,4
2,2,ceil,saturate,98.48,4
4,0,stochastic,saturate,98.47,4
2,2,trunc,saturate,98.46,4
3,1,nearest,saturate,98.42,4
2,2,floor,saturate,98.4,4
4,0,stochastic,wrap,98.38,4
3,1,trunc,saturate,98.22,4
4,0,trunc,saturate,98.17,4
4,0,ceil,saturate,98.14,4
4,0,trunc,wrap,98.14,4
4,0,ceil,wrap,98.13,4
3,1,floor,saturate,98.12,4
4,0,floor,saturate,98.04,4
4,0,floor,wrap,97.97,4
3,1,ceil,wrap,69.55,4
3,1,trunc,wrap,67.73,4
3,1,nearest,wrap,64.32,4
3,1,stochastic,wrap,58.68,4
3,1,floor,wrap,56.81,4
0,4,trunc,wrap,10.63,4
0,4,nearest,wrap,10.33,4
1,3,nearest,wrap,10.27,4
1,3,stochastic,wrap,10.19,4
0,4,ceil,wrap,10.16,4
1,3,ceil,wrap,10.1,4
2,2,stochastic,wrap,9.99,4
1,3,trunc,wrap,9.9,4
1,3,floor,wrap,9.81,4
0,4,stochastic,wrap,9.81,4
0,4,floor,wrap,9.75,4
2,2,floor,wrap,9.58,4
2,2,nearest,wrap,9.54,4
2,2,trunc,wrap,9.47,4
2,2,ceil,wrap,9.24,4
0,5,floor,saturate,98.63,5
2,3,trunc,saturate,98.62,5
0,5,trunc,saturate,98.61,5
5,0,stochastic,saturate,98.61,5
5,0,stochastic,wrap,98.61,5
2,3,floor,saturate,98.57,5
0,5,ceil,saturate,98.57,5
0,5,nearest,saturate,98.57,5
2,3,nearest,saturate,98.57,5
1,4,floor,saturate,98.56,5
1,4,trunc,saturate,98.56,5
4,1,ceil,saturate,98.55,5
2,3,ceil,saturate,98.54,5
0,5,stochastic,saturate,98.53,5
3,2,nearest,saturate,98.52,5
5,0,nearest,saturate,98.52,5
5,0,nearest,wrap,98.52,5
3,2,ceil,saturate,98.51,5
4,1,ceil,wrap,98.5,5
1,4,stochastic,saturate,98.5,5
2,3,stochastic,saturate,98.5,5
3,2,stochastic,saturate,98.5,5
1,4,ceil,saturate,98.48,5
1,4,nearest,saturate,98.48,5
4,1,nearest,saturate,98.48,5
4,1,stochastic,saturate,98.47,5
4,1,stochastic,wrap,98.46,5
4,1,nearest,wrap,98.44,5
3,2,floor,saturate,98.4,5
3,2,trunc,saturate,98.4,5
5,0,ceil,saturate,98.24,5
5,0,ceil,wrap,98.24,5
4,1,trunc,saturate,98.2,5
4,1,floor,saturate,98.16,5
5,0,floor,saturate,98.15,5
5,0,floor,wrap,98.15,5
5,0,trunc,saturate,98.15,5
4,1,trunc,wrap,98.15,5
5,0,trunc,wrap,98.15,5
4,1,floor,wrap,98.05,5
3,2,ceil,wrap,64.59,5
3,2,trunc,wrap,64.52,5
3,2,nearest,wrap,61.88,5
3,2,stochastic,wrap,58.94,5
3,2,floor,wrap,58.82,5
1,4,floor,wrap,10.41,5
0,5,floor,wrap,10.37,5
1,4,ceil,wrap,10.35,5
1,4,trunc,wrap,10.09,5
1,4,stochastic,wrap,10.09,5
1,4,nearest,wrap,10.07,5
0,5,stochastic,wrap,9.95,5
0,5,nearest,wrap,9.92,5
2,3,nearest,wrap,9.86,5
2,3,floor,wrap,9.79,5
2,3,stochastic,wrap,9.72,5
2,3,ceil,wrap,9.58,5
2,3,trunc,wrap,9.39,5
0,5,trunc,wrap,9.32,5
0,5,ceil,wrap,9.31,5
2,4,ceil,saturate,98.62,6
2,4,nearest,saturate,98.62,6
3,3,floor,saturate,98.6,6
3,3,ceil,saturate,98.58,6
2,4,trunc,saturate,98.57,6
3,3,trunc,saturate,98.57,6
1,5,stochastic,saturate,98.55,6
2,4,floor,saturate,98.54,6
1,5,trunc,saturate,98.54,6
3,3,nearest,saturate,98.54,6
1,5,floor,saturate,98.53,6
2,4,stochastic,saturate,98.53,6
4,2,floor,saturate,98.52,6
3,3,stochastic,saturate,98.51,6
1,5,ceil,saturate,98.5,6
4,2,ceil,saturate,98.49,6
4,2,nearest,saturate,98.49,6
5,1,ceil,saturate,98.48,6
4,2,ceil,wrap,98.48,6
5,1,ceil,wrap,98.48,6
4,2,trunc,saturate,98.48,6
1,5,nearest,saturate,98.48,6
0,6,stochastic,saturate,98.48,6
4,2,stochastic,saturate,98.48,6
0,6,ceil,saturate,98.47,6
4,2,floor,wrap,98.46,6
4,2,nearest,wrap,98.46,6
0,6,trunc,saturate,98.45,6
5,1,stochastic,saturate,98.45,6
5,1,stochastic,wrap,98.45,6
0,6,floor,saturate,98.44,6
0,6,nearest,saturate,98.44,6
4,2,trunc,wrap,98.42,6
4,2,stochastic,wrap,98.41,6
5,1,nearest,saturate,98.39,6
5,1,nearest,wrap,98.39,6
5,1,floor,saturate,98.17,6
5,1,floor,wrap,98.17,6
5,1,trunc,saturate,98.16,6
5,1,trunc,wrap,98.16,6
3,3,trunc,wrap,61.64,6
3,3,ceil,wrap,61.5,6
3,3,nearest,wrap,60.23,6
3,3,stochastic,wrap,59.1,6
3,3,floor,wrap,59.03,6
1,5,stochastic,wrap,10.63,6
1,5,ceil,wrap,10.51,6
1,5,floor,wrap,10.43,6
0,6,floor,wrap,10.37,6
0,6,ceil,wrap,10.36,6
0,6,trunc,wrap,10.32,6
1,5,trunc,wrap,10.22,6
0,6,nearest,wrap,10.12,6
2,4,stochastic,wrap,10.12,6
1,5,nearest,wrap,9.83,6
0,6,stochastic,wrap,9.72,6
2,4,ceil,wrap,9.41,6
2,4,trunc,wrap,9.37,6
2,4,floor,wrap,9.36,6
2,4,nearest,wrap,9.19,6
5,2,ceil,saturate,98.61,7
5,2,ceil,wrap,98.61,7
4,3,nearest,saturate,98.58,7
1,6,floor,saturate,98.57,7
1,6,trunc,saturate,98.56,7
5,2,nearest,saturate,98.56,7
5,2,nearest,wrap,98.56,7
2,5,stochastic,saturate,98.56,7
3,4,floor,saturate,98.55,7
1,6,ceil,saturate,98.55,7
4,3,nearest,wrap,98.55,7
1,6,stochastic,saturate,98.55,7
3,4,trunc,saturate,98.54,7
1,6,nearest,saturate,98.54,7
3,4,nearest,saturate,98.53,7
0,7,stochastic,saturate,98.53,7
5,2,stochastic,saturate,98.52,7
5,2,stochastic,wrap,98.52,7
2,5,trunc,saturate,98.51,7
3,4,stochastic,saturate,98.51,7
2,5,floor,saturate,98.5,7
4,3,floor,saturate,98.5,7
5,2,floor,saturate,98.5,7
5,2,floor,wrap,98.5,7
0,7,ceil,saturate,98.5,7
2,5,ceil,saturate,98.5,7
4,3,trunc,saturate,98.5,7
2,5,nearest,saturate,98.5,7
3,4,ceil,saturate,98.49,7
0,7,trunc,saturate,98.49,7
4,3,stochastic,saturate,98.49,7
0,7,floor,saturate,98.48,7
5,2,trunc,saturate,98.48,7
5,2,trunc,wrap,98.48,7
0,7,nearest,saturate,98.48,7
4,3,ceil,saturate,98.47,7
4,3,ceil,wrap,98.44,7
4,3,stochastic,wrap,98.44,7
4,3,floor,wrap,98.42,7
4,3,trunc,wrap,98.42,7
3,4,trunc,wrap,60.29,7
3,4,ceil,wrap,60.25,7
3,4,nearest,wrap,59.66,7
3,4,floor,wrap,59.22,7
3,4,stochastic,wrap,59.11,7
0,7,trunc,wrap,10.5,7
1,6,nearest,wrap,10.43,7
0,7,stochastic,wrap,10.26,7
1,6,ceil,wrap,10.25,7
0,7,ceil,wrap,10.12,7
1,6,stochastic,wrap,10.11,7
2,5,floor,wrap,10.02,7
0,7,floor,wrap,9.94,7
2,5,nearest,wrap,9.9,7
2,5,ceil,wrap,9.88,7
1,6,floor,wrap,9.87,7
1,6,trunc,wrap,9.84,7
0,7,nearest,wrap,9.75,7
2,5,stochastic,wrap,9.75,7
2,5,trunc,wrap,9.59,7
0,8,stochastic,saturate,98.59,8
2,6,stochastic,saturate,98.59,8
3,5,ceil,saturate,98.58,8
5,3,ceil,saturate,98.57,8
5,3,ceil,wrap,98.57,8
3,5,floor,saturate,98.56,8
5,3,nearest,saturate,98.55,8
5,3,nearest,wrap,98.55,8
4,4,stochastic,saturate,98.55,8
0,8,ceil,saturate,98.54,8
1,7,ceil,saturate,98.54,8
1,7,nearest,saturate,98.54,8
1,7,floor,saturate,98.53,8
1,7,trunc,saturate,98.53,8
3,5,nearest,saturate,98.53,8
3,5,stochastic,saturate,98.53,8
0,8,floor,saturate,98.52,8
2,6,floor,saturate,98.52,8
0,8,trunc,saturate,98.52,8
2,6,trunc,saturate,98.52,8
2,6,nearest,saturate,98.52,8
4,4,nearest,saturate,98.52,8
5,3,stochastic,saturate,98.52,8
5,3,stochastic,wrap,98.52,8
3,5,trunc,saturate,98.51,8
5,3,trunc,saturate,98.51,8
5,3,trunc,wrap,98.51,8
5,3,floor,saturate,98.5,8
5,3,floor,wrap,98.5,8
0,8,nearest,saturate,98.5,8
4,4,stochastic,wrap,98.5,8
2,6,ceil,saturate,98.49,8
1,7,stochastic,saturate,98.48,8
4,4,ceil,saturate,98.47,8
4,4,trunc,saturate,98.47,8
4,4,floor,saturate,98.46,8
4,4,trunc,wrap,98.44,8
4,4,nearest,wrap,98.43,8
4,4,floor,wrap,98.42,8
4,4,ceil,wrap,98.42,8
3,5,ceil,wrap,59.55,8
3,5,trunc,wrap,59.51,8
3,5,nearest,wrap,59.23,8
3,5,stochastic,wrap,59.11,8
3,5,floor,wrap,59.01,8
1,7,trunc,wrap,10.56,8
0,8,stochastic,wrap,10.45,8
0,8,nearest,wrap,10.3,8
1,7,floor,wrap,10.27,8
1,7,nearest,wrap,10.25,8
1,7,ceil,wrap,10.18,8
2,6,floor,wrap,10.14,8
2,6,stochastic,wrap,10.14,8
2,6,nearest,wrap,10.07,8
0,8,floor,wrap,10.05,8
0,8,trunc,wrap,10.03,8
0,8,ceil,wrap,9.93,8
2,6,trunc,wrap,9.89,8
1,7,stochastic,wrap,9.86,8
2,6,ceil,wrap,9.84,8
2,7,floor,saturate,98.65,9
2,7,trunc,saturate,98.65,9
2,7,ceil,saturate,98.63,9
2,7,nearest,saturate,98.62,9
2,7,stochastic,saturate,98.58,9
5,4,ceil,saturate,98.56,9
5,4,ceil,wrap,98.56,9
3,6,stochastic,saturate,98.54,9
4,5,ceil,saturate,98.52,9
4,5,floor,saturate,98.51,9
1,8,ceil,saturate,98.51,9
4,5,nearest,saturate,98.51,9
5,4,nearest,saturate,98.51,9
5,4,nearest,wrap,98.51,9
1,8,stochastic,saturate,98.51,9
1,8,floor,saturate,98.5,9
1,8,trunc,saturate,98.5,9
4,5,trunc,saturate,98.5,9
1,8,nearest,saturate,98.5,9
4,5,stochastic,saturate,98.5,9
3,6,floor,saturate,98.49,9
3,6,trunc,saturate,98.49,9
3,6,nearest,saturate,98.49,9
5,4,floor,saturate,98.48,9
4,5,floor,wrap,98.48,9
5,4,floor,wrap,98.48,9
3,6,ceil,saturate,98.48,9
4,5,ceil,wrap,98.48,9
5,4,trunc,saturate,98.47,9
5,4,trunc,wrap,98.47,9
4,5,nearest,wrap,98.47,9
4,5,trunc,wrap,98.46,9
5,4,stochastic,saturate,98.46,9
5,4,stochastic,wrap,98.46,9
4,5,stochastic,wrap,98.45,9
3,6,trunc,wrap,59.52,9
3,6,ceil,wrap,59.35,9
3,6,nearest,wrap,59.12,9
3,6,floor,wrap,59.03,9
3,6,stochastic,wrap,58.77,9
1,8,floor,wrap,11.04,9
1,8,trunc,wrap,10.86,9
1,8,nearest,wrap,10.72,9
1,8,stochastic,wrap,10.63,9
1,8,ceil,wrap,10.5,9
2,7,stochastic,wrap,9.97,9
2,7,floor,wrap,9.75,9
2,7,ceil,wrap,9.58,9
2,7,nearest,wrap,9.58,9
2,7,trunc,wrap,9.42,9
3,7,floor,saturate,98.56,10
4,6,ceil,saturate,98.55,10
3,7,trunc,saturate,98.55,10
5,5,nearest,saturate,98.55,10
5,5,nearest,wrap,98.55,10
2,8,stochastic,saturate,98.55,10
5,5,floor,saturate,98.54,10
5,5,floor,wrap,98.54,10
3,7,ceil,saturate,98.54,10
3,7,nearest,saturate,98.54,10
4,6,ceil,wrap,98.53,10
5,5,trunc,saturate,98.53,10
5,5,trunc,wrap,98.53,10
3,7,stochastic,saturate,98.53,10
4,6,stochastic,saturate,98.52,10
5,5,stochastic,saturate,98.51,10
5,5,stochastic,wrap,98.51,10
2,8,floor,saturate,98.5,10
5,5,ceil,saturate,98.5,10
5,5,ceil,wrap,98.5,10
2,8,trunc,saturate,98.5,10
4,6,trunc,saturate,98.49,10
4,6,nearest,saturate,98.49,10
4,6,floor,saturate,98.48,10
4,6,trunc,wrap,98.48,10
4,6,nearest,wrap,98.48,10
2,8,nearest,saturate,98.47,10
4,6,floor,wrap,98.46,10
4,6,stochastic,wrap,98.45,10
2,8,ceil,saturate,98.44,10
3,7,nearest,wrap,59.02,10
3,7,trunc,wrap,58.97,10
3,7,floor,wrap,58.93,10
3,7,ceil,wrap,58.89,10
3,7,stochastic,wrap,58.7,10
2,8,ceil,wrap,10.19,10
2,8,trunc,wrap,10.19,10
2,8,floor,wrap,10.13,10
2,8,nearest,wrap,10.12,10
2,8,stochastic,wrap,10.12,10
5,6,floor,saturate,98.56,11
5,6,floor,wrap,98.56,11
5,6,trunc,saturate,98.56,11
5,6,trunc,wrap,98.56,11
4,7,floor,saturate,98.54,11
4,7,trunc,saturate,98.54,11
4,7,ceil,saturate,98.53,11
4,7,nearest,saturate,98.52,11
5,6,nearest,saturate,98.51,11
5,6,nearest,wrap,98.51,11
3,8,stochastic,saturate,98.51,11
5,6,ceil,saturate,98.49,11
5,6,ceil,wrap,98.49,11
5,6,stochastic,saturate,98.49,11
5,6,stochastic,wrap,98.49,11
3,8,floor,saturate,98.48,11
3,8,trunc,saturate,98.48,11
3,8,nearest,saturate,98.48,11
4,7,floor,wrap,98.47,11
4,7,trunc,wrap,98.47,11
4,7,nearest,wrap,98.46,11
4,7,stochastic,saturate,98.46,11
3,8,ceil,saturate,98.45,11
4,7,ceil,wrap,98.45,11
4,7,stochastic,wrap,98.4,11
3,8,ceil,wrap,58.91,11
3,8,stochastic,wrap,58.88,11
3,8,trunc,wrap,58.87,11
3,8,nearest,wrap,58.79,11
3,8,floor,wrap,58.78,11
4,8,nearest,saturate,98.58,12
4,8,trunc,saturate,98.56,12
4,8,floor,saturate,98.55,12
4,8,ceil,saturate,98.55,12
5,7,nearest,saturate,98.54,12
5,7,nearest,wrap,98.54,12
5,7,ceil,saturate,98.53,12
5,7,ceil,wrap,98.53,12
4,8,nearest,wrap,98.53,12
4,8,trunc,wrap,98.51,12
4,8,floor,wrap,98.5,12
5,7,trunc,saturate,98.5,12
5,7,trunc,wrap,98.5,12
4,8,stochastic,saturate,98.5,12
5,7,floor,saturate,98.49,12
5,7,floor,wrap,98.49,12
4,8,ceil,wrap,98.48,12
4,8,stochastic,wrap,98.47,12
5,7,stochastic,saturate,98.46,12
5,7,stochastic,wrap,98.46,12
5,8,stochastic,saturate,98.51,13
5,8,stochastic,wrap,98.51,13
5,8,ceil,saturate,98.49,13
5,8,ceil,wrap,98.49,13
5,8,floor,saturate,98.48,13
5,8,floor,wrap,98.48,13
