m,n,rounding,overflow,acc
0,0,trunc,wrap,9.8
0,1,trunc,wrap,9.8
0,2,trunc,wrap,10.31
0,3,trunc,wrap,9.74
0,4,trunc,wrap,9.75
0,5,trunc,wrap,10.02
0,6,trunc,wrap,9.57
0,7,trunc,wrap,10.11
0,8,trunc,wrap,10.27
1,0,trunc,wrap,9.44
1,1,trunc,wrap,9.75
1,2,trunc,wrap,9.49
1,3,trunc,wrap,10.13
1,4,trunc,wrap,9.98
1,5,trunc,wrap,10.22
1,6,trunc,wrap,9.98
1,7,trunc,wrap,9.98
1,8,trunc,wrap,9.95
2,0,trunc,wrap,11.69
2,1,trunc,wrap,10.25
2,2,trunc,wrap,11.03
2,3,trunc,wrap,10.83
2,4,trunc,wrap,11.3
2,5,trunc,wrap,10.65
2,6,trunc,wrap,10.84
2,7,trunc,wrap,10.39
2,8,trunc,wrap,10.38
3,0,trunc,wrap,69.2
3,1,trunc,wrap,67.23
3,2,trunc,wrap,75.51
3,3,trunc,wrap,75.99
3,4,trunc,wrap,75.83
3,5,trunc,wrap,75.69
3,6,trunc,wrap,75.88
3,7,trunc,wrap,76.25
3,8,trunc,wrap,75.91
4,0,trunc,wrap,80.95
4,1,trunc,wrap,85.24
4,2,trunc,wrap,95.8
4,3,trunc,wrap,97.25
4,4,trunc,wrap,97.57
4,5,trunc,wrap,97.64
4,6,trunc,wrap,97.59
4,7,trunc,wrap,97.63
4,8,trunc,wrap,97.73
5,0,trunc,wrap,80.6
5,1,trunc,wrap,85.21
5,2,trunc,wrap,95.85
5,3,trunc,wrap,97.09
5,4,trunc,wrap,97.58
5,5,trunc,wrap,97.71
5,6,trunc,wrap,97.65
5,7,trunc,wrap,97.77
5,8,trunc,wrap,97.68
