m,n,rounding,overflow,acc
4,8,stochastic,wrap,98.69
5,7,stochastic,wrap,98.69
5,8,stochastic,wrap,98.68
4,7,stochastic,wrap,98.65
4,6,stochastic,wrap,98.6
5,6,stochastic,wrap,98.55
5,5,stochastic,wrap,98.21
4,5,stochastic,wrap,98.02
5,4,stochastic,wrap,94.73
4,4,stochastic,wrap,91.99
5,3,stochastic,wrap,76.14
3,8,stochastic,wrap,72.82
3,7,stochastic,wrap,69.38
3,6,stochastic,wrap,61.64
4,3,stochastic,wrap,59.4
3,5,stochastic,wrap,46.14
5,2,stochastic,wrap,43.31
3,4,stochastic,wrap,27.93
4,2,stochastic,wrap,19.6
2,4,stochastic,wrap,14.71
3,3,stochastic,wrap,12.31
3,2,stochastic,wrap,12.01
4,1,stochastic,wrap,11.88
1,3,stochastic,wrap,11.41
3,1,stochastic,wrap,11.14
0,2,stochastic,wrap,10.79
2,3,stochastic,wrap,10.74
1,2,stochastic,wrap,10.64
2,6,stochastic,wrap,10.55
1,1,stochastic,wrap,10.4
1,4,stochastic,wrap,10.37
3,0,stochastic,wrap,10.34
1,7,stochastic,wrap,10.34
2,0,stochastic,wrap,10.34
1,8,stochastic,wrap,10.32
4,0,stochastic,wrap,10.31
0,8,stochastic,wrap,10.27
5,0,stochastic,wrap,10.23
0,3,stochastic,wrap,10.16
2,1,stochastic,wrap,10.15
1,5,stochastic,wrap,10.14
0,7,stochastic,wrap,10.13
0,4,stochastic,wrap,10.11
1,0,stochastic,wrap,10.1
0,5,stochastic,wrap,9.93
2,2,stochastic,wrap,9.85
5,1,stochastic,wrap,9.83
0,0,stochastic,wrap,9.8
0,1,stochastic,wrap,9.8
0,6,stochastic,wrap,9.78
1,6,stochastic,wrap,9.46
2,5,stochastic,wrap,9.04
2,7,stochastic,wrap,7.46
2,8,stochastic,wrap,5.95
