m,n,rounding,overflow,acc,bits
0,0,floor,saturate,9.8,0
0,0,floor,wrap,9.8,0
0,0,ceil,saturate,9.8,0
0,0,ceil,wrap,9.8,0
0,0,trunc,saturate,9.8,0
0,0,trunc,wrap,9.8,0
0,0,nearest,saturate,9.8,0
0,0,nearest,wrap,9.8,0
0,0,stochastic,saturate,9.8,0
0,0,stochastic,wrap,9.8,0
1,0,stochastic,saturate,15.99,1
1,0,floor,wrap,10.26,1
1,0,stochastic,wrap,10.07,1
1,0,ceil,wrap,10.06,1
0,1,floor,saturate,9.8,1
1,0,floor,saturate,9.8,1
0,1,floor,wrap,9.8,1
0,1,ceil,saturate,9.8,1
1,0,ceil,saturate,9.8,1
0,1,ceil,wrap,9.8,1
1,0,trunc,saturate,9.8,1
0,1,trunc,saturate,9.8,1
0,1,trunc,wrap,9.8,1
1,0,trunc,wrap,9.8,1
0,1,nearest,saturate,9.8,1
0,1,nearest,wrap,9.8,1
0,1,stochastic,saturate,9.8,1
0,1,stochastic,wrap,9.8,1
1,0,nearest,saturate,9.68,1
1,0,nearest,wrap,9.25,1
1,1,nearest,saturate,43.0,2
0,2,nearest,saturate,29.5,2
0,2,stochastic,saturate,29.02,2
1,1,stochastic,saturate,22.95,2
2,0,stochastic,saturate,19.24,2
0,2,ceil,saturate,16.08,2
0,2,trunc,saturate,14.66,2
0,2,floor,saturate,12.87,2
2,0,stochastic,wrap,11.0,2
1,1,stochastic,wrap,10.25,2
0,2,floor,wrap,10.22,2
2,0,floor,wrap,10.11,2
1,1,ceil,wrap,10.08,2
0,2,ceil,wrap,10.07,2
2,0,ceil,wrap,10.02,2
1,1,floor,wrap,10.01,2
0,2,stochastic,wrap,9.99,2
1,1,trunc,wrap,9.82,2
1,1,trunc,saturate,9.81,2
1,1,floor,saturate,9.8,2
2,0,floor,saturate,9.8,2
1,1,ceil,saturate,9.8,2
2,0,ceil,saturate,9.8,2
2,0,trunc,saturate,9.8,2
2,0,trunc,wrap,9.8,2
2,0,nearest,saturate,9.64,2
1,1,nearest,wrap,9.45,2
0,2,trunc,wrap,9.18,2
0,2,nearest,wrap,8.64,2
2,0,nearest,wrap,4.88,2
1,2,nearest,saturate,86.05,3
1,2,stochastic,saturate,45.77,3
2,1,nearest,saturate,43.83,3
0,3,stochastic,saturate,33.16,3
0,3,trunc,saturate,32.69,3
0,3,floor,saturate,32.59,3
0,3,nearest,saturate,32.54,3
0,3,ceil,saturate,32.53,3
2,1,stochastic,saturate,30.02,3
3,0,stochastic,saturate,19.43,3
1,2,trunc,saturate,16.79,3
1,2,ceil,saturate,11.38,3
1,2,floor,saturate,11.32,3
1,2,nearest,wrap,10.7,3
3,0,floor,wrap,10.59,3
0,3,floor,wrap,10.42,3
0,3,stochastic,wrap,10.41,3
3,0,ceil,wrap,10.39,3
3,0,stochastic,wrap,10.32,3
2,1,ceil,wrap,10.24,3
1,2,ceil,wrap,10.19,3
1,2,floor,wrap,10.05,3
2,1,stochastic,wrap,10.0,3
0,3,nearest,wrap,9.97,3
2,1,floor,wrap,9.87,3
0,3,ceil,wrap,9.86,3
2,1,trunc,wrap,9.83,3
2,1,trunc,saturate,9.82,3
2,1,floor,saturate,9.8,3
3,0,floor,saturate,9.8,3
2,1,ceil,saturate,9.8,3
3,0,ceil,saturate,9.8,3
3,0,trunc,saturate,9.8,3
3,0,trunc,wrap,9.8,3
3,0,nearest,saturate,9.7,3
0,3,trunc,wrap,9.53,3
1,2,stochastic,wrap,9.37,3
1,2,trunc,wrap,8.84,3
3,0,nearest,wrap,6.98,3
2,1,nearest,wrap,5.74,3
2,2,nearest,saturate,90.38,4
1,3,ceil,saturate,88.82,4
1,3,nearest,saturate,88.67,4
1,3,stochastic,saturate,88.66,4
1,3,floor,saturate,88.65,4
1,3,trunc,saturate,88.57,4
2,2,stochastic,saturate,49.21,4
3,1,nearest,saturate,43.58,4
3,1,nearest,wrap,35.22,4
0,4,stochastic,saturate,35.11,4
0,4,trunc,saturate,35.1,4
0,4,floor,saturate,34.92,4
0,4,nearest,saturate,34.91,4
0,4,ceil,saturate,34.82,4
3,1,stochastic,saturate,30.81,4
4,0,stochastic,saturate,19.62,4
4,0,ceil,wrap,18.36,4
2,2,trunc,saturate,17.54,4
2,2,trunc,wrap,15.02,4
4,0,floor,wrap,14.99,4
3,1,floor,wrap,14.08,4
2,2,ceil,saturate,11.41,4
2,2,floor,wrap,10.9,4
1,3,ceil,wrap,10.66,4
1,3,floor,wrap,10.47,4
0,4,floor,wrap,10.31,4
1,3,nearest,wrap,10.19,4
0,4,ceil,wrap,10.18,4
1,3,stochastic,wrap,10.15,4
0,4,trunc,wrap,10.09,4
3,1,ceil,wrap,10.07,4
2,2,nearest,wrap,10.05,4
1,3,trunc,wrap,10.01,4
2,2,floor,saturate,9.96,4
3,1,trunc,saturate,9.83,4
3,1,trunc,wrap,9.83,4
0,4,nearest,wrap,9.83,4
0,4,stochastic,wrap,9.81,4
3,1,floor,saturate,9.8,4
4,0,floor,saturate,9.8,4
3,1,ceil,saturate,9.8,4
4,0,ceil,saturate,9.8,4
4,0,trunc,saturate,9.8,4
4,0,trunc,wrap,9.8,4
4,0,nearest,wrap,9.68,4
4,0,nearest,saturate,9.67,4
2,2,stochastic,wrap,9.2,4
3,1,stochastic,wrap,7.89,4
2,2,ceil,wrap,7.44,4
4,0,stochastic,wrap,7.13,4
2,3,trunc,saturate,97.97,5
2,3,floor,saturate,97.88,5
2,3,ceil,saturate,97.86,5
2,3,nearest,saturate,97.86,5
2,3,stochastic,saturate,97.86,5
3,2,nearest,saturate,90.21,5
1,4,stochastic,saturate,89.72,5
1,4,trunc,saturate,89.68,5
1,4,ceil,saturate,89.65,5
1,4,floor,saturate,89.63,5
1,4,nearest,saturate,89.62,5
3,2,nearest,wrap,70.83,5
3,2,stochastic,saturate,48.65,5
4,1,nearest,wrap,43.71,5
4,1,nearest,saturate,43.66,5
0,5,trunc,saturate,35.16,5
0,5,nearest,saturate,35.05,5
0,5,ceil,saturate,34.84,5
0,5,floor,saturate,34.74,5
0,5,stochastic,saturate,34.4,5
4,1,stochastic,saturate,30.08,5
5,0,stochastic,saturate,19.53,5
5,0,stochastic,wrap,18.25,5
3,2,trunc,wrap,18.15,5
3,2,trunc,saturate,17.62,5
4,1,stochastic,wrap,16.18,5
4,1,ceil,wrap,14.15,5
3,2,ceil,wrap,11.48,5
3,2,ceil,saturate,11.46,5
1,4,ceil,wrap,10.89,5
1,4,floor,wrap,10.37,5
1,4,nearest,wrap,10.3,5
1,4,stochastic,wrap,10.27,5
0,5,nearest,wrap,10.17,5
0,5,stochastic,wrap,10.15,5
0,5,floor,wrap,10.13,5
5,0,ceil,wrap,10.1,5
1,4,trunc,wrap,10.06,5
3,2,floor,saturate,9.92,5
0,5,trunc,wrap,9.91,5
0,5,ceil,wrap,9.88,5
4,1,trunc,wrap,9.83,5
4,1,trunc,saturate,9.82,5
4,1,floor,saturate,9.8,5
5,0,floor,saturate,9.8,5
4,1,ceil,saturate,9.8,5
5,0,ceil,saturate,9.8,5
5,0,trunc,saturate,9.8,5
5,0,trunc,wrap,9.8,5
5,0,nearest,wrap,9.71,5
5,0,nearest,saturate,9.69,5
2,3,ceil,wrap,8.7,5
2,3,trunc,wrap,8.33,5
5,0,floor,wrap,8.27,5
2,3,floor,wrap,8.24,5
2,3,nearest,wrap,8.11,5
2,3,stochastic,wrap,7.8,5
3,2,stochastic,wrap,7.53,5
4,1,floor,wrap,6.28,5
3,2,floor,wrap,4.24,5
3,3,nearest,saturate,98.06,6
3,3,ceil,saturate,98.05,6
3,3,trunc,saturate,98.02,6
3,3,stochastic,saturate,97.98,6
3,3,floor,saturate,97.95,6
2,4,stochastic,saturate,97.95,6
2,4,trunc,saturate,97.91,6
2,4,ceil,saturate,97.88,6
2,4,nearest,saturate,97.85,6
2,4,floor,saturate,97.84,6
4,2,nearest,saturate,90.23,6
4,2,nearest,wrap,90.2,6
1,5,trunc,saturate,89.78,6
1,5,nearest,saturate,89.7,6
1,5,stochastic,saturate,89.67,6
1,5,ceil,saturate,89.59,6
1,5,floor,saturate,89.54,6
3,3,trunc,wrap,87.14,6
3,3,ceil,wrap,86.96,6
3,3,nearest,wrap,86.84,6
3,3,stochastic,wrap,86.56,6
3,3,floor,wrap,86.16,6
4,2,stochastic,saturate,48.1,6
5,1,nearest,saturate,43.92,6
5,1,nearest,wrap,43.84,6
4,2,stochastic,wrap,41.6,6
0,6,trunc,saturate,34.98,6
0,6,stochastic,saturate,34.95,6
0,6,nearest,saturate,34.87,6
0,6,floor,saturate,34.86,6
0,6,ceil,saturate,34.75,6
5,1,stochastic,saturate,30.5,6
5,1,stochastic,wrap,22.76,6
4,2,trunc,wrap,17.7,6
4,2,trunc,saturate,17.46,6
4,2,ceil,saturate,11.45,6
4,2,ceil,wrap,11.42,6
0,6,ceil,wrap,10.75,6
1,5,nearest,wrap,10.62,6
0,6,floor,wrap,10.34,6
0,6,stochastic,wrap,10.18,6
0,6,trunc,wrap,10.1,6
1,5,floor,wrap,10.09,6
0,6,nearest,wrap,10.08,6
1,5,stochastic,wrap,9.91,6
4,2,floor,saturate,9.88,6
5,1,trunc,wrap,9.83,6
5,1,trunc,saturate,9.81,6
1,5,trunc,wrap,9.81,6
5,1,floor,saturate,9.8,6
5,1,ceil,saturate,9.8,6
5,1,ceil,wrap,9.8,6
1,5,ceil,wrap,9.8,6
5,1,floor,wrap,9.54,6
2,4,nearest,wrap,8.34,6
2,4,ceil,wrap,8.16,6
2,4,trunc,wrap,8.07,6
2,4,floor,wrap,8.02,6
2,4,stochastic,wrap,7.84,6
4,2,floor,wrap,7.1,6
4,3,trunc,wrap,98.05,7
4,3,nearest,saturate,98.05,7
4,3,stochastic,wrap,98.04,7
3,4,floor,saturate,98.02,7
3,4,ceil,saturate,98.02,7
4,3,stochastic,saturate,98.02,7
4,3,ceil,saturate,98.0,7
2,5,trunc,saturate,98.0,7
3,4,stochastic,saturate,98.0,7
4,3,floor,saturate,97.98,7
2,5,ceil,saturate,97.98,7
4,3,floor,wrap,97.97,7
3,4,nearest,saturate,97.97,7
4,3,nearest,wrap,97.97,7
4,3,trunc,saturate,97.96,7
2,5,nearest,saturate,97.94,7
2,5,floor,saturate,97.93,7
2,5,stochastic,saturate,97.92,7
4,3,ceil,wrap,97.9,7
3,4,trunc,saturate,97.88,7
5,2,nearest,saturate,90.4,7
5,2,nearest,wrap,90.13,7
1,6,trunc,saturate,89.79,7
1,6,floor,saturate,89.65,7
1,6,ceil,saturate,89.65,7
1,6,stochastic,saturate,89.65,7
1,6,nearest,saturate,89.51,7
3,4,trunc,wrap,86.74,7
3,4,stochastic,wrap,86.45,7
3,4,ceil,wrap,86.43,7
3,4,nearest,wrap,86.38,7
3,4,floor,wrap,86.24,7
5,2,stochastic,saturate,48.33,7
5,2,stochastic,wrap,47.49,7
0,7,floor,saturate,35.05,7
0,7,nearest,saturate,35.0,7
0,7,trunc,saturate,34.94,7
0,7,stochastic,saturate,34.79,7
0,7,ceil,saturate,34.46,7
5,2,trunc,wrap,17.67,7
5,2,trunc,saturate,17.52,7
5,2,ceil,wrap,11.44,7
5,2,ceil,saturate,11.43,7
1,6,nearest,wrap,10.62,7
0,7,nearest,wrap,10.47,7
0,7,floor,wrap,10.41,7
1,6,stochastic,wrap,10.27,7
1,6,trunc,wrap,10.23,7
0,7,trunc,wrap,10.12,7
1,6,ceil,wrap,10.02,7
1,6,floor,wrap,9.93,7
0,7,stochastic,wrap,9.91,7
5,2,floor,saturate,9.9,7
0,7,ceil,wrap,9.4,7
5,2,floor,wrap,9.29,7
2,5,trunc,wrap,8.25,7
2,5,ceil,wrap,8.07,7
2,5,stochastic,wrap,8.01,7
2,5,nearest,wrap,7.95,7
2,5,floor,wrap,7.71,7
3,5,trunc,saturate,98.11,8
4,4,floor,saturate,98.06,8
5,3,ceil,saturate,98.06,8
5,3,floor,wrap,98.05,8
4,4,stochastic,wrap,98.05,8
3,5,floor,saturate,98.04,8
5,3,trunc,wrap,98.04,8
4,4,ceil,saturate,98.01,8
5,3,trunc,saturate,98.01,8
5,3,nearest,saturate,98.01,8
4,4,nearest,wrap,98.01,8
5,3,floor,saturate,98.0,8
2,6,floor,saturate,98.0,8
4,4,trunc,wrap,98.0,8
3,5,nearest,saturate,98.0,8
4,4,floor,wrap,97.99,8
4,4,ceil,wrap,97.99,8
3,5,stochastic,saturate,97.99,8
3,5,ceil,saturate,97.98,8
4,4,trunc,saturate,97.97,8
5,3,stochastic,saturate,97.97,8
4,4,nearest,saturate,97.96,8
4,4,stochastic,saturate,97.96,8
5,3,nearest,wrap,97.93,8
2,6,ceil,saturate,97.92,8
2,6,stochastic,saturate,97.92,8
2,6,nearest,saturate,97.9,8
5,3,stochastic,wrap,97.88,8
5,3,ceil,wrap,97.86,8
2,6,trunc,saturate,97.85,8
1,7,nearest,saturate,89.82,8
1,7,floor,saturate,89.78,8
1,7,stochastic,saturate,89.74,8
1,7,trunc,saturate,89.66,8
1,7,ceil,saturate,89.52,8
3,5,trunc,wrap,86.73,8
3,5,nearest,wrap,86.56,8
3,5,stochastic,wrap,86.5,8
3,5,ceil,wrap,86.44,8
3,5,floor,wrap,86.21,8
0,8,ceil,saturate,35.09,8
0,8,nearest,saturate,34.99,8
0,8,floor,saturate,34.84,8
0,8,stochastic,saturate,34.83,8
0,8,trunc,saturate,34.78,8
1,7,stochastic,wrap,10.6,8
1,7,floor,wrap,10.41,8
1,7,nearest,wrap,10.34,8
1,7,ceil,wrap,10.1,8
0,8,ceil,wrap,10.04,8
0,8,trunc,wrap,9.98,8
0,8,stochastic,wrap,9.96,8
0,8,nearest,wrap,9.88,8
1,7,trunc,wrap,9.78,8
0,8,floor,wrap,9.59,8
2,6,stochastic,wrap,8.01,8
2,6,ceil,wrap,7.9,8
2,6,nearest,wrap,7.89,8
2,6,trunc,wrap,7.82,8
2,6,floor,wrap,7.79,8
3,6,nearest,saturate,98.07,9
5,4,trunc,saturate,98.05,9
3,6,ceil,saturate,98.04,9
4,5,floor,wrap,98.03,9
5,4,floor,wrap,98.03,9
5,4,ceil,saturate,98.02,9
5,4,ceil,wrap,98.02,9
4,5,trunc,saturate,98.02,9
3,6,stochastic,saturate,98.02,9
5,4,trunc,wrap,98.01,9
4,5,nearest,wrap,98.0,9
5,4,floor,saturate,97.99,9
4,5,stochastic,wrap,97.99,9
5,4,nearest,wrap,97.98,9
5,4,stochastic,saturate,97.98,9
2,7,stochastic,saturate,97.98,9
5,4,stochastic,wrap,97.98,9
3,6,floor,saturate,97.97,9
4,5,floor,saturate,97.97,9
2,7,ceil,saturate,97.97,9
4,5,ceil,wrap,97.97,9
4,5,trunc,wrap,97.97,9
4,5,ceil,saturate,97.95,9
4,5,stochastic,saturate,97.95,9
5,4,nearest,saturate,97.94,9
4,5,nearest,saturate,97.93,9
2,7,floor,saturate,97.91,9
3,6,trunc,saturate,97.91,9
2,7,nearest,saturate,97.86,9
2,7,trunc,saturate,97.8,9
1,8,nearest,saturate,89.77,9
1,8,floor,saturate,89.76,9
1,8,ceil,saturate,89.73,9
1,8,trunc,saturate,89.66,9
1,8,stochastic,saturate,89.51,9
3,6,stochastic,wrap,86.61,9
3,6,ceil,wrap,86.49,9
3,6,trunc,wrap,86.47,9
3,6,nearest,wrap,86.4,9
3,6,floor,wrap,86.3,9
1,8,trunc,wrap,10.17,9
1,8,ceil,wrap,10.14,9
1,8,stochastic,wrap,10.11,9
1,8,floor,wrap,9.79,9
1,8,nearest,wrap,9.55,9
2,7,ceil,wrap,8.0,9
2,7,trunc,wrap,7.98,9
2,7,floor,wrap,7.87,9
2,7,nearest,wrap,7.8,9
2,7,stochastic,wrap,7.79,9
4,6,stochastic,wrap,98.1,10
5,5,floor,saturate,98.09,10
4,6,trunc,saturate,98.08,10
5,5,nearest,wrap,98.08,10
4,6,floor,saturate,98.06,10
5,5,floor,wrap,98.03,10
4,6,stochastic,saturate,98.03,10
3,7,trunc,saturate,98.02,10
4,6,floor,wrap,98.01,10
5,5,ceil,saturate,98.01,10
5,5,ceil,wrap,98.01,10
4,6,ceil,wrap,98.01,10
3,7,nearest,saturate,98.01,10
4,6,ceil,saturate,98.0,10
5,5,trunc,saturate,98.0,10
4,6,nearest,saturate,98.0,10
3,7,ceil,saturate,97.99,10
5,5,nearest,saturate,97.99,10
5,5,stochastic,saturate,97.99,10
2,8,trunc,saturate,97.97,10
5,5,stochastic,wrap,97.96,10
4,6,trunc,wrap,97.95,10
2,8,nearest,saturate,97.95,10
2,8,floor,saturate,97.93,10
5,5,trunc,wrap,97.93,10
3,7,stochastic,saturate,97.91,10
3,7,floor,saturate,97.9,10
2,8,ceil,saturate,97.9,10
2,8,stochastic,saturate,97.9,10
4,6,nearest,wrap,97.86,10
3,7,ceil,wrap,86.48,10
3,7,nearest,wrap,86.42,10
3,7,floor,wrap,86.41,10
3,7,stochastic,wrap,86.35,10
3,7,trunc,wrap,86.25,10
2,8,floor,wrap,8.13,10
2,8,ceil,wrap,8.08,10
2,8,nearest,wrap,7.97,10
2,8,stochastic,wrap,7.85,10
2,8,trunc,wrap,7.56,10
4,7,floor,saturate,98.1,11
5,6,floor,wrap,98.07,11
4,7,stochastic,wrap,98.07,11
5,6,stochastic,wrap,98.05,11
3,8,ceil,saturate,98.04,11
3,8,stochastic,saturate,98.04,11
5,6,trunc,wrap,98.03,11
5,6,ceil,saturate,98.02,11
3,8,nearest,saturate,98.02,11
4,7,ceil,saturate,98.01,11
5,6,ceil,wrap,98.01,11
5,6,trunc,saturate,98.0,11
5,6,nearest,saturate,97.99,11
5,6,nearest,wrap,97.99,11
4,7,nearest,wrap,97.99,11
5,6,stochastic,saturate,97.99,11
3,8,floor,saturate,97.98,11
4,7,trunc,saturate,97.98,11
4,7,nearest,saturate,97.97,11
3,8,trunc,saturate,97.96,11
5,6,floor,saturate,97.95,11
4,7,ceil,wrap,97.94,11
4,7,trunc,wrap,97.92,11
4,7,stochastic,saturate,97.92,11
4,7,floor,wrap,97.89,11
3,8,stochastic,wrap,86.65,11
3,8,nearest,wrap,86.64,11
3,8,floor,wrap,86.54,11
3,8,ceil,wrap,86.45,11
3,8,trunc,wrap,86.41,11
4,8,nearest,saturate,98.12,12
5,7,trunc,wrap,98.11,12
4,8,floor,saturate,98.1,12
5,7,floor,wrap,98.1,12
5,7,stochastic,saturate,98.09,12
5,7,ceil,wrap,98.04,12
5,7,nearest,wrap,98.03,12
4,8,ceil,wrap,98.02,12
4,8,nearest,wrap,98.02,12
4,8,ceil,saturate,98.01,12
4,8,floor,wrap,98.0,12
5,7,floor,saturate,97.97,12
5,7,nearest,saturate,97.97,12
4,8,stochastic,saturate,97.97,12
5,7,stochastic,wrap,97.97,12
5,7,trunc,saturate,97.95,12
4,8,trunc,saturate,97.94,12
4,8,stochastic,wrap,97.93,12
5,7,ceil,saturate,97.91,12
4,8,trunc,wrap,97.87,12
5,8,stochastic,saturate,98.06,13
5,8,trunc,saturate,98.04,13
5,8,ceil,wrap,98.03,13
5,8,floor,saturate,98.02,13
5,8,trunc,wrap,98.01,13
5,8,nearest,saturate,98.0,13
