m,n,rounding,overflow,acc
5,2,floor,wrap,97.73
5,5,floor,wrap,97.72
5,3,floor,wrap,97.69
5,6,floor,wrap,97.69
5,7,floor,wrap,97.69
5,4,floor,wrap,97.67
5,8,floor,wrap,97.67
4,4,floor,wrap,97.55
4,6,floor,wrap,97.49
4,8,floor,wrap,97.48
4,7,floor,wrap,97.44
4,3,floor,wrap,97.43
4,5,floor,wrap,97.4
4,2,floor,wrap,97.36
3,2,floor,wrap,48.5
3,3,floor,wrap,48.26
3,4,floor,wrap,48.04
3,7,floor,wrap,47.73
3,6,floor,wrap,47.32
3,5,floor,wrap,47.23
3,8,floor,wrap,47.2
0,3,floor,wrap,10.6
1,7,floor,wrap,10.47
1,4,floor,wrap,10.4
2,1,floor,wrap,10.34
0,6,floor,wrap,10.33
0,2,floor,wrap,10.33
2,7,floor,wrap,10.33
0,7,floor,wrap,10.33
1,3,floor,wrap,10.29
4,0,floor,wrap,10.17
2,8,floor,wrap,10.14
1,1,floor,wrap,10.13
1,8,floor,wrap,10.04
2,6,floor,wrap,9.97
0,8,floor,wrap,9.97
2,4,floor,wrap,9.95
1,6,floor,wrap,9.94
3,1,floor,wrap,9.89
2,5,floor,wrap,9.87
2,2,floor,wrap,9.83
2,3,floor,wrap,9.81
0,1,floor,wrap,9.8
0,0,floor,wrap,9.8
1,0,floor,wrap,9.79
1,2,floor,wrap,9.79
3,0,floor,wrap,9.67
0,4,floor,wrap,9.67
0,5,floor,wrap,9.64
2,0,floor,wrap,9.62
1,5,floor,wrap,9.49
5,1,floor,wrap,8.09
4,1,floor,wrap,6.92
5,0,floor,wrap,5.46
