m,n,rounding,overflow,acc
5,8,stochastic,wrap,97.03
5,3,stochastic,wrap,96.96
4,8,stochastic,wrap,96.95
4,7,stochastic,wrap,96.95
5,7,stochastic,wrap,96.95
5,5,stochastic,wrap,96.95
4,6,stochastic,wrap,96.94
4,4,stochastic,wrap,96.92
5,4,stochastic,wrap,96.89
4,3,stochastic,wrap,96.89
4,5,stochastic,wrap,96.87
5,6,stochastic,wrap,96.85
4,2,stochastic,wrap,96.84
5,2,stochastic,wrap,96.8
3,8,stochastic,wrap,83.38
3,3,stochastic,wrap,83.36
3,2,stochastic,wrap,83.34
3,5,stochastic,wrap,83.3
3,7,stochastic,wrap,83.27
3,4,stochastic,wrap,83.09
3,6,stochastic,wrap,82.92
5,1,stochastic,wrap,41.92
4,1,stochastic,wrap,26.08
5,0,stochastic,wrap,18.06
1,8,stochastic,wrap,10.85
1,2,stochastic,wrap,10.66
0,4,stochastic,wrap,10.61
2,0,stochastic,wrap,10.6
1,0,stochastic,wrap,10.34
0,8,stochastic,wrap,10.32
1,1,stochastic,wrap,10.31
1,6,stochastic,wrap,10.22
1,3,stochastic,wrap,10.21
0,7,stochastic,wrap,10.16
0,5,stochastic,wrap,10.13
2,2,stochastic,wrap,10.07
1,5,stochastic,wrap,9.98
1,7,stochastic,wrap,9.89
0,6,stochastic,wrap,9.88
3,0,stochastic,wrap,9.85
0,3,stochastic,wrap,9.83
0,0,stochastic,wrap,9.8
0,1,stochastic,wrap,9.8
1,4,stochastic,wrap,9.79
2,5,stochastic,wrap,9.78
2,4,stochastic,wrap,9.71
2,7,stochastic,wrap,9.69
0,2,stochastic,wrap,9.59
2,3,stochastic,wrap,9.59
2,8,stochastic,wrap,9.57
2,6,stochastic,wrap,9.55
2,1,stochastic,wrap,8.79
4,0,stochastic,wrap,6.7
3,1,stochastic,wrap,3.81
